"Final_EA_code","interview__id","C4H_ElementYear_id","s4hq83","s4hq84","s4hq85","s4hq86","s4hq83v2","s4hq84v2","s4hq85v2","s4hq86v2"
"232101040606","1058921f8e3e4719beb3f8c64572daf1",5,"72","72",2,"NO MISMATCH","64","64",2,"NO MISMATCH"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"311105051111","10e47f214cb7482aa3d9da38fbb07f61",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",0,"760","760",1,"NONE","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",1,"1417","1417",2,"NONE","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",2,"20","29",1,"WRONG REPORTING/ TALLYING, THE RESULTS IN THE REGISTER ARE ACCURATE.","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",3,"23","25",1,"WRONG","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",4,"11","32",1,"WRONG REPORTING/ TALLYING, THE RESULTS IN THE REGISTER ARE ACCURATE.","##N/A##","##N/A##",,"##N/A##"
"308102060619","1124288a21f7429c8e9307a11291b298",5,"56","56",1,"NONE","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",0,"687","687",1,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",1,"963","963",2,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",2,"26","26",2,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",3,"23","23",2,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",4,"03","03",2,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"327106020513","11324295e37b4bd8b91976e0d5e61df7",5,"03","0",2,"NO MISMATCH","##N/A##","##N/A##",,"##N/A##"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",0,"507","507",2,"NONE","1079","1079",1,"NO MISMATCH"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",1,"1760","1760",2,"NONE","1511","1511",2,"NO MISMATCH"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",2,"71","71",2,"NONE","82","82",2,"NO MISMATCH"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",3,"74","74",2,"NONE","89","89",2,"NO MISMATCH"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",4,"97","97",2,"NONE","96","96",2,"NO MISMATCH"
"219103170202","14b0a6db23fb42a683d40499e0651e1a",5,"63","63",2,"NONE","72","72",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",0,"1156","1156",2,"NO VARIATION","699","699",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",1,"1309","1309",2,"NO VARIATION","855","855",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",2,"21","21",2,"NO VARIATION","28","28",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",3,"15","15",2,"NO VARIATION","23","23",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",4,"36","36",2,"NO VARIATION","55","55",2,"NO MISMATCH"
"115202070303","14c013df40e448d49e47f95ceab9d37e",5,"59","59",2,"NO VARIATION","36","36",2,"NO MISMATCH"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",0,"0","1312",1,"HMIS missing","1605","1663",1,"poor tallying"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",1,"1062","202",1,"Some registers missing","1916","2038",1,"poor tallying"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",2,"0","0",1,"HMIS register missing","58","58",2,"none"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",3,"138","138",2,"none","55","55",2,"none"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",4,"0","0",2,"HMIS and register missing","36","36",2,"none"
"303404030404","1559b44962074f1fa1de10a1c4794e7f",5,"25","0",1,"registers missing","66","66",2,"none"
"113105040201","15d825f70832453c8d77d9b0db1b716f",0,"_","519",1,"No mismatch","_","407",2,"No mismatch"
"113105040201","15d825f70832453c8d77d9b0db1b716f",1,"_","429",1,"No mismatch","_","350",2,"No mismatch"
"113105040201","15d825f70832453c8d77d9b0db1b716f",2,"_","1",1,"No mismatch","_","0",2,"No mismatch"
"113105040201","15d825f70832453c8d77d9b0db1b716f",3,"_","1",2,"No mismatch","_","1",2,"No mismatch"
"113105040201","15d825f70832453c8d77d9b0db1b716f",4,"_","66",2,"No mismatch","_","30",2,"No mismatch"
"113105040201","15d825f70832453c8d77d9b0db1b716f",5,"_","25",2,"No mismatch","_","35",2,"No mismatch"
"223128010204","15daaf897d21429892bdbf6e9764ae66",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"223128010204","15daaf897d21429892bdbf6e9764ae66",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"223128010204","15daaf897d21429892bdbf6e9764ae66",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"223128010204","15daaf897d21429892bdbf6e9764ae66",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"223128010204","15daaf897d21429892bdbf6e9764ae66",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"223128010204","15daaf897d21429892bdbf6e9764ae66",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",0,"506","497",1,"Wrong  numbering","557","557",2,"GOOD  RECORDS"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",1,"405","406",1,"Wrong numbering","717","674",2,"WRONG  NUMBERING"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",2,"9","8",1,"1 DELIVERY  NOT RECORDED  IN  THE  REGISTER","11","6",1,"WRONG  REPORTING"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",3,"6","6",2,"Good","2","4",1,"WRONG  REPORTING"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",4,"22","29",1,"missing  tally  sheets  when report  is  being  made","0","0",2,"Missing  tally  sheets  and in HMIS  105 IT WAS RECORDED 0,I THINK  THAT MONTH VACCINATION  WAS NOT DONE"
"322108020610","165176d72b6e412cad2ebc29b0a29ee2",5,"25","13",1,"Missing   tally  sheets","6","0",1,"Missing  tally  sheets"
"102104020313","179be7cbf9884e01833685dd902c2f22",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104020313","179be7cbf9884e01833685dd902c2f22",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104020313","179be7cbf9884e01833685dd902c2f22",2,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104020313","179be7cbf9884e01833685dd902c2f22",3,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104020313","179be7cbf9884e01833685dd902c2f22",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"102104020313","179be7cbf9884e01833685dd902c2f22",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",0,"735","738",1,"THE FIGURES WERE MISS REPORTED","422","422",2,"No mismatch"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",1,"618","618",2,"No mismatch","524","524",2,"No mismatch"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",2,"0","0",2,"THE FACILITY DOESN'T OFFER DELIVERIES","0","0",2,"THE FACILITY DOESN'T OFFER DELIVERIES"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",3,"0","0",2,"THE FACILITY DOESN'T OFFER DELIVERIES","0","0",2,"THE FACILITY DOESN'T OFFER DELIVERIES"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",4,"257","257",2,"No mismatch","261","261",2,"No mismatch"
"113604010110","17ad285d62d7499fa34b4a79740f73fd",5,"264","264",2,"No mismatch","210","210",2,"No mismatch"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",0,"##N/A##","310",2,"##N/A##","##N/A##","189",2,"##N/A##"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",1,"##N/A##","413",2,"##N/A##","##N/A##","291",2,"##N/A##"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",2,"##N/A##","0",2,"##N/A##","##N/A##","0",2,"##N/A##"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",3,"##N/A##","0",2,"##N/A##","##N/A##","0",2,"##N/A##"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",4,"##N/A##","20",2,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"221109050505","18cad48cbad4438ab7b9524abfdc566e",5,"##N/A##","19",2,"##N/A##","##N/A##","26",2,"##N/A##"
"123110030105","19e17412e1bb4367904771f4b7d723b1",0,"1050","1050",2,"no variation","795","795",2,"NO MISMATCH"
"123110030105","19e17412e1bb4367904771f4b7d723b1",1,"1162","1162",2,"no variation","868","868",2,"NO MISMATCH"
"123110030105","19e17412e1bb4367904771f4b7d723b1",2,"136","136",2,"no variation","131","131",2,"NO MISMATCH"
"123110030105","19e17412e1bb4367904771f4b7d723b1",3,"113","113",2,"no variation","154","154",2,"NO MISMATCH"
"123110030105","19e17412e1bb4367904771f4b7d723b1",4,"107","107",2,"no variation","98","98",2,"NO MISMATCH"
"123110030105","19e17412e1bb4367904771f4b7d723b1",5,"160","160",2,"no variation","90","90",2,"NO MISMATCH"
"307108020605","1a7113db20214db7abccd7c463c86c4c",0,"604","613",1,"wrong  numbering","0","0",1,"Missing  records"
"307108020605","1a7113db20214db7abccd7c463c86c4c",1,"682","682",2,"GOOD","0","471",1,"Missing  records"
"307108020605","1a7113db20214db7abccd7c463c86c4c",2,"0","0",2,"No deliveries  in  this  month","0","4",1,"Missing  records"
"307108020605","1a7113db20214db7abccd7c463c86c4c",3,"0","0",2,"No deliveries  in  this  month","0","3",1,"Missing  records"
"307108020605","1a7113db20214db7abccd7c463c86c4c",4,"30","35",1,"Missing  tally  sheets  during  report  making","0","46",1,"Missing  records"
"307108020605","1a7113db20214db7abccd7c463c86c4c",5,"35","26",1,"Some of the tally  sheets  were missing","0","51",1,"Missing  records"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",0,"##N/A##","452",2,"##N/A##","##N/A##","357",2,"##N/A##"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",1,"##N/A##","504",2,"##N/A##","##N/A##","239",2,"##N/A##"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",2,"##N/A##","20",2,"##N/A##","##N/A##","13",2,"##N/A##"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",3,"##N/A##","21",2,"##N/A##","##N/A##","19",2,"##N/A##"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",4,"##N/A##","65",2,"##N/A##","##N/A##","71",2,"##N/A##"
"226105051005","1abf78b9247749bf82b6875f5fa2caac",5,"##N/A##","70",2,"##N/A##","##N/A##","78",2,"##N/A##"
"415115040706","1b8cc2c217144817bece19f488026244",0,"686","686",2,"NONE","729","729",2,"NONE"
"415115040706","1b8cc2c217144817bece19f488026244",1,"1285","1285",2,"NONE","768","768",2,"NONE"
"415115040706","1b8cc2c217144817bece19f488026244",2,"48","48",2,"NONE","46","46",2,"NONE"
"415115040706","1b8cc2c217144817bece19f488026244",3,"42","42",2,"NONE","42","42",2,"NONE"
"415115040706","1b8cc2c217144817bece19f488026244",4,"58","58",2,"NONE","55","55",2,"NONE"
"415115040706","1b8cc2c217144817bece19f488026244",5,"59","59",2,"NONE","21","21",2,"NONE"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",0,"575","575",2,"none","709","709",2,"none"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",1,"635","635",2,"none","597","597",2,"none"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",2,"0","0",2,"none","0","0",2,"none"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",3,"0","0",2,"0","0","0",2,"none"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",4,"0","0",2,"none","0","0",2,"none"
"310102021618","1d1c39bd455d40e7adb33093f06cefb2",5,"0","0",2,"none","0","0",2,"none"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",0,"2313","2313",2,"NOBE","2610","2610",2,"NO MISMATCH"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",1,"3299","3299",2,"None","3382","3382",2,"no mismatch"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",2,"78","78",2,"NO MISMATCH","63","63",2,"no mismatch"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",3,"86","86",2,"SKIPPING ERROR DURING TYPING","83","83",2,"no mismatch"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",4,"156","156",2,"NONE","175","175",2,"no mismatch"
"208202080102","1eb5ffb1eeb14468bc6eb36b5bb54ef5",5,"140","141",2,"SKIP DURING TYPING.","254","254",1,"no mismatch"
"323104030201","1f82d12a97c547288165584527f40a15",0,"1344","1342",1,"WRONG  TALLYING","1364","1457",1,"wrong  numbering"
"323104030201","1f82d12a97c547288165584527f40a15",1,"1321","1597",1,"WRONG  NUMBERING","822","822",2,"GOOD RECORDS"
"323104030201","1f82d12a97c547288165584527f40a15",2,"52","52",2,"Good","53","77",1,"WRONG  COUNTING  FROM  THE DELIVERY  REGISTERS BY THE RECORDS  PEOPLE"
"323104030201","1f82d12a97c547288165584527f40a15",3,"48","48",2,"Good","86","86",2,"GOOD  RECORDS"
"323104030201","1f82d12a97c547288165584527f40a15",4,"126","126",2,"Good","54","58",1,"missing  tally  sheets"
"323104030201","1f82d12a97c547288165584527f40a15",5,"62","62",2,"Good","89","70",1,"missing  tally  sheets"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",0,"1062","1152",1,"poor tallying","1152","1165",1,"poor tallying"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",1,"1322","1322",2,"none","1001","1008",1,"poor tallying"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",2,"43","43",2,"none","72","72",2,"none"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",3,"32","32",2,"none","48","46",1,"poor tallying"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",4,"89","107",1,"poor tallying","47","83",1,"poor tallying"
"303201020510","1f9751e8115d473c98fdd74d60bf3cfe",5,"77","77",2,"none","40","40",2,"none"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",0,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",1,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",2,"0","0",2,"0","##N/A##","##N/A##",,"##N/A##"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",3,"0","0",2,"NO DELIVERIES","##N/A##","##N/A##",,"##N/A##"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",4,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"411403030809","20b3dc70a2ef47ffab2bc7cf0cfde6b0",5,"##N/A##","##N/A##",,"##N/A##","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",0,"447","447",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",1,"705","705",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",2,"88","88",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",3,"63","63",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",4,"88","88",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
"107305070203","22079ff2853f489cae51dabb6c99470d",5,"64","64",2,"No mismatch","##N/A##","##N/A##",,"##N/A##"
