"hhid","A10itemcod_ID","s10q01a","s10q02a","s10q03aa","s10q04a","s10q05aa","s10q06a","s10q07aa","s10q08a"
"03003a6f1ccd4b1290629662229b5d83",18,1,4500000,1,2,1,,,
"03003a6f1ccd4b1290629662229b5d83",2,0,,0,1,,1,1,0
"032de3aed1c34dd5840aba975a5a4468",3,0,,0,1,,1,1,0
"032de3aed1c34dd5840aba975a5a4468",1,3,15000,3,1,,2,,
"034a672611304ed3a91b8a062f4d4046",1,3,21000,3,1,,2,,
"0368af34cb614bae9ef98c927741984d",14,0,,0,1,,1,1,40000
"0368af34cb614bae9ef98c927741984d",1,12,80000,12,1,,2,,
"0368af34cb614bae9ef98c927741984d",3,2,4000,2,1,,2,,
"0397ef293012436a99a621fce6fc7471",1,1,6500,1,1,,2,,
"0397ef293012436a99a621fce6fc7471",3,1,4000,1,1,,2,,
"03b2600846004af6ba212269261907a2",1,6,50000,6,1,,2,,
"03b2600846004af6ba212269261907a2",12,1,4000,1,1,,2,,
"03b2600846004af6ba212269261907a2",4,1,3000,1,1,,2,,
"03b2600846004af6ba212269261907a2",3,2,10000,2,1,,2,,
"03b2600846004af6ba212269261907a2",19,1,60000,1,1,,2,,
"03d9ca9332d545378b468a1883127d8b",4,1,3000,1,1,,2,,
"03d9ca9332d545378b468a1883127d8b",3,2,6000,2,1,,2,,
"03d9ca9332d545378b468a1883127d8b",1,3,15000,3,1,,2,,
"03d9ca9332d545378b468a1883127d8b",12,1,2000,1,1,,2,,
"040b3ad7eb264e30acc111646f03422a",19,0,,0,1,,1,4,4000
"040b3ad7eb264e30acc111646f03422a",14,0,,0,1,,1,3,30000
"040b3ad7eb264e30acc111646f03422a",3,1,3000,1,1,,2,,
"040b3ad7eb264e30acc111646f03422a",1,4,26000,4,1,,2,,
"044116a438c040a898ba43daf6bdc2ea",19,0,,0,1,,1,1,0
"044116a438c040a898ba43daf6bdc2ea",1,5,25000,5,1,,2,,
"0442775d8d424d59a433ab5940d510ca",12,2,16000,2,1,,1,1,3000
"0442775d8d424d59a433ab5940d510ca",3,2,8000,2,1,,2,,
"0442775d8d424d59a433ab5940d510ca",8,1,3000,1,1,,2,,
"0442775d8d424d59a433ab5940d510ca",1,5,35000,5,1,,1,2,2000
"046067ad635647c5a02c03f1790df520",1,4,20000,4,1,,2,,
"046067ad635647c5a02c03f1790df520",12,1,4000,1,1,,2,,
"046067ad635647c5a02c03f1790df520",14,2,250000,1,1,,2,,
"0464b7af72994dea923644331716d84e",12,1,6000,1,1,,2,,
"0464b7af72994dea923644331716d84e",1,4,20000,4,1,,1,5,0
"0464b7af72994dea923644331716d84e",14,1,250000,1,1,,2,,
"0464b7af72994dea923644331716d84e",19,0,,0,1,,1,1,0
"0464b7af72994dea923644331716d84e",22,1,4000,1,1,,2,,
"0464b7af72994dea923644331716d84e",3,2,8000,2,1,,2,,
"0495834806fb40adb50e0fd619ef5094",5,1,7000,1,1,,2,,
"0495834806fb40adb50e0fd619ef5094",3,2,4000,2,1,,2,,
"0495834806fb40adb50e0fd619ef5094",12,1,7500,1,1,,2,,
"0495834806fb40adb50e0fd619ef5094",8,1,2500,1,1,,2,,
"0495834806fb40adb50e0fd619ef5094",1,5,15000,5,1,,2,,
"04b011de772e4ce08e33e461bb1741eb",1,2,10000,2,1,,2,,
"04b011de772e4ce08e33e461bb1741eb",3,1,5000,1,1,,2,,
"04bfccbfe0c64dfebc28097777937f16",1,1,9000,1,1,,2,,
"04bfccbfe0c64dfebc28097777937f16",3,2,10000,2,1,,2,,
"04bfccbfe0c64dfebc28097777937f16",4,1,7000,1,1,,2,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",13,1,5000,1,2,1,,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",7,1,4000,1,1,,2,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",5,1,50000,1,1,,2,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",12,2,7000,2,2,1,,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",8,1,2500,1,2,1,,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,7,35000,7,1,,2,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",3,3,6000,3,1,,2,,
"04c814d7b9cb4aa2b651aa2e31acf4e9",19,1,35000,1,1,,2,,
"04d55903a5d448c3953d1d1ceda1084d",7,1,5000,1,2,1,,,
"04d55903a5d448c3953d1d1ceda1084d",14,0,,1,1,,1,1,5000
"04d55903a5d448c3953d1d1ceda1084d",8,1,500,1,1,,2,,
"04d55903a5d448c3953d1d1ceda1084d",5,0,,0,1,,1,2,0
"04d55903a5d448c3953d1d1ceda1084d",13,0,,1,1,,1,1,0
"04d55903a5d448c3953d1d1ceda1084d",1,1,3000,4,1,,2,,
"04d55903a5d448c3953d1d1ceda1084d",3,2,7000,1,1,,2,,
"04d55903a5d448c3953d1d1ceda1084d",12,0,,1,1,,1,1,0
"04ee28189feb42c6a75acb852661aef1",3,1,7000,1,1,,2,,
"04ee28189feb42c6a75acb852661aef1",1,3,30000,3,1,,1,3,0
"0515ceaa3b6d4400bb337565e78db4e4",13,2,15000,2,1,,2,,
"0515ceaa3b6d4400bb337565e78db4e4",3,2,7000,2,1,,2,,
"0515ceaa3b6d4400bb337565e78db4e4",5,1,40000,1,1,,2,,
"0515ceaa3b6d4400bb337565e78db4e4",4,1,3500,1,1,,2,,
"0515ceaa3b6d4400bb337565e78db4e4",1,5,30000,5,1,,2,,
"051abf68db894b34a1ecfa22bd2a2509",3,1,4500,1,1,,2,,
"051abf68db894b34a1ecfa22bd2a2509",1,6,18000,6,1,,2,,
"052f8d3f81c3477aa9366a24c54ddf83",1,2,12000,2,1,,2,,
"052f8d3f81c3477aa9366a24c54ddf83",12,1,10000,0,1,,2,,
"052f8d3f81c3477aa9366a24c54ddf83",14,1,180000,1,1,,2,,
"052f8d3f81c3477aa9366a24c54ddf83",19,1,13000,1,1,,2,,
"052f8d3f81c3477aa9366a24c54ddf83",3,1,5000,1,1,,2,,
"0540d10333124c9ab290bb9daaf998cc",3,1,2500,1,1,,2,,
"0540d10333124c9ab290bb9daaf998cc",1,4,15000,4,1,,2,,
"054124cd4eff40ec97bf51a44fe4a93c",1,2,5000,2,1,,2,,
"054124cd4eff40ec97bf51a44fe4a93c",3,1,3000,1,1,,2,,
"05743465c6254f7baedf141b6381f400",1,4,20000,4,1,,2,,
"05743465c6254f7baedf141b6381f400",3,1,5000,1,1,,2,,
"05743465c6254f7baedf141b6381f400",12,1,3000,1,1,,2,,
"05863e44874d4d0bbe8abdc95d9249b2",19,0,,0,1,,1,2,4000
"05863e44874d4d0bbe8abdc95d9249b2",3,1,3000,1,1,,1,1,0
"05863e44874d4d0bbe8abdc95d9249b2",13,1,10000,1,1,,2,,
"05863e44874d4d0bbe8abdc95d9249b2",1,3,18000,3,1,,2,,
"05863e44874d4d0bbe8abdc95d9249b2",4,1,2000,1,1,,2,,
"0586e2b9bcd24aa3bf31580492500327",1,2,6000,2,1,,2,,
"0586e2b9bcd24aa3bf31580492500327",3,1,2500,1,1,,2,,
"058977f6550c4624b8d171b5d1a58a6e",1,2,10000,1,1,,2,,
"058977f6550c4624b8d171b5d1a58a6e",4,1,3000,1,1,,2,,
"058977f6550c4624b8d171b5d1a58a6e",3,1,3000,1,1,,2,,
"059ff457522a4a8fa64c8b2717080161",1,2,18000,2,1,,1,2,6000
"059ff457522a4a8fa64c8b2717080161",3,1,3500,1,1,,2,,
"05b5aece409440ff8a1231a07558d979",1,3,30000,3,1,,2,,
"05b5aece409440ff8a1231a07558d979",3,1,6000,1,1,,2,,
"05b5aece409440ff8a1231a07558d979",4,2,12000,2,1,,2,,
"05bd23b2d9d84b128c7b45db8d2da17f",12,1,3000,1,1,,2,,
"05bd23b2d9d84b128c7b45db8d2da17f",1,1,3000,1,1,,2,,
"05bd23b2d9d84b128c7b45db8d2da17f",3,1,1000,1,1,,2,,
"05cef9765f92473eb465b6dc4fac72a4",19,0,,0,1,,1,1,2000
"05cef9765f92473eb465b6dc4fac72a4",3,1,5000,1,1,,2,,
"05cef9765f92473eb465b6dc4fac72a4",22,1,4000,1,1,,2,,
"05cef9765f92473eb465b6dc4fac72a4",5,0,,0,1,,1,1,0
"05cef9765f92473eb465b6dc4fac72a4",14,1,120000,1,1,,2,,
"05cef9765f92473eb465b6dc4fac72a4",1,4,20000,4,1,,2,,
"05dafcf31b4d403aad84cdfff9d1fdfc",8,0,,0,1,,1,2,0
"05dafcf31b4d403aad84cdfff9d1fdfc",1,2,8000,2,1,,2,,
"05dafcf31b4d403aad84cdfff9d1fdfc",3,2,10000,2,1,,2,,
"0602eb95ac184ad3aa8fdba309f3f946",19,1,10000,1,1,,2,,
"0602eb95ac184ad3aa8fdba309f3f946",1,6,40000,7,1,,2,,
"0602eb95ac184ad3aa8fdba309f3f946",3,2,5000,2,1,,2,,
"06122c47fee6432f8b973b9ea525fe57",3,1,2500,1,1,,2,,
"06122c47fee6432f8b973b9ea525fe57",1,3,15000,4,1,,2,,
"061989138f624a46be5860a6f7e8934b",3,2,10000,2,1,,1,1,0
"061989138f624a46be5860a6f7e8934b",1,4,30000,0,1,,1,2,0
"061989138f624a46be5860a6f7e8934b",12,2,10000,2,1,,1,2,0
"061989138f624a46be5860a6f7e8934b",19,1,80000,0,1,,2,,
"061d004e00b841cea0fa55802483b1b4",1,3,21000,3,1,,2,,
"061d004e00b841cea0fa55802483b1b4",3,1,4000,1,1,,2,,
"06403dbe6bbd4f1e82d16fa705c51b73",5,0,,0,1,,1,1,0
"06403dbe6bbd4f1e82d16fa705c51b73",1,2,12000,2,1,,2,,
"06403dbe6bbd4f1e82d16fa705c51b73",3,2,15000,2,1,,2,,
"06403dbe6bbd4f1e82d16fa705c51b73",8,0,,0,1,,1,1,0
"066a75cbe6cb4de4a2ba444ec6c9a5b4",5,1,80000,1,1,,2,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",1,3,20000,3,1,,2,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",3,2,10000,2,1,,2,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",4,1,5000,1,1,,2,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",8,2,6000,2,1,,2,,
"066a75cbe6cb4de4a2ba444ec6c9a5b4",13,2,20000,2,1,,2,,
"067e98465031426791a3853b69a9a70a",4,1,7000,1,1,,2,,
"067e98465031426791a3853b69a9a70a",1,1,8000,3,1,,2,,
"067e98465031426791a3853b69a9a70a",12,1,7000,1,1,,2,,
"067e98465031426791a3853b69a9a70a",3,1,5000,1,1,,2,,
"067f809da4ef44c8ab7ff3a16ee31672",3,1,2500,1,1,,2,,
"067f809da4ef44c8ab7ff3a16ee31672",1,4,16000,5,1,,2,,
"06816d8d60b141418b768b356970d613",1,2,16000,2,1,,2,,
"06816d8d60b141418b768b356970d613",4,1,5000,1,1,,2,,
"06816d8d60b141418b768b356970d613",3,2,10000,2,1,,2,,
"06816d8d60b141418b768b356970d613",12,1,5000,1,1,,2,,
"06816d8d60b141418b768b356970d613",5,1,70000,1,1,,1,1,0
"068c76ff148d44fcbb4ab89429adcb6c",19,1,70000,1,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",12,1,3000,1,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",7,1,10000,1,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",3,2,10000,2,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",1,5,30000,5,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",4,2,8000,2,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",21,1,60000,1,1,,2,,
"068c76ff148d44fcbb4ab89429adcb6c",2,1,170000,1,1,,1,1,800000
"06a5f788e6b248dfa229a7cd68fcf706",3,1,4000,1,1,,2,,
"06a5f788e6b248dfa229a7cd68fcf706",1,3,27000,3,1,,2,,
"06b36c2c9668465ead2665345a45355a",1,2,13000,2,1,,2,,
"06b36c2c9668465ead2665345a45355a",14,1,120000,1,1,,2,,
"06b36c2c9668465ead2665345a45355a",3,1,5000,1,1,,2,,
"06ca2b010f7a4724a51adc2505df2e10",1,2,12000,2,1,,2,,
"06ca2b010f7a4724a51adc2505df2e10",3,1,4000,1,1,,2,,
"072bede7173b42a9b15f6d873387591a",1,3,7000,3,1,,2,,
"072bede7173b42a9b15f6d873387591a",3,2,3000,2,1,,2,,
"07446a0d279c4168ae5f4a5aab842b4d",12,1,6000,1,1,,2,,
"07446a0d279c4168ae5f4a5aab842b4d",4,1,4000,1,1,,2,,
"07446a0d279c4168ae5f4a5aab842b4d",3,2,7000,2,1,,2,,
"07446a0d279c4168ae5f4a5aab842b4d",1,2,14000,2,1,,2,,
"074abb9330f84c72b0f136f6fc38d00d",3,1,5000,1,1,,2,,
"074abb9330f84c72b0f136f6fc38d00d",1,2,15000,3,1,,2,,
"0753ace2876b4833a3bb185a04440fe8",19,1,35000,1,1,,1,1,0
"0753ace2876b4833a3bb185a04440fe8",1,3,17000,3,1,,1,1,0
"0753ace2876b4833a3bb185a04440fe8",4,1,3000,1,1,,2,,
"0753ace2876b4833a3bb185a04440fe8",3,1,2500,1,1,,2,,
"078096ed82bd4b369317a5c4329d7dd8",5,1,10000,1,2,2,,,
"078096ed82bd4b369317a5c4329d7dd8",3,1,5000,1,1,,2,,
"078096ed82bd4b369317a5c4329d7dd8",1,5,25000,5,1,,2,,
"078096ed82bd4b369317a5c4329d7dd8",14,0,,0,1,,1,1,15000
"079da0c0a73b465b9c0be7a5bd9bf920",3,1,6000,1,1,,2,,
"079da0c0a73b465b9c0be7a5bd9bf920",8,1,2500,1,1,,2,,
"079da0c0a73b465b9c0be7a5bd9bf920",1,2,20000,2,1,,2,,
"079e6812fb50405bbe8cb744b5ef6afd",1,5,20000,5,1,,2,,
"07b346723489448b99ea7d75a5cd2458",3,1,6000,1,1,,2,,
"07b346723489448b99ea7d75a5cd2458",1,4,20000,4,1,,2,,
"07b346723489448b99ea7d75a5cd2458",4,2,10000,2,1,,2,,
"07b5c28dd52642b69def9db9df074dc0",4,1,2500,1,1,,2,,
"07b5c28dd52642b69def9db9df074dc0",1,4,23000,4,1,,2,,
"07b5c28dd52642b69def9db9df074dc0",3,1,3000,1,1,,2,,
"07b5c28dd52642b69def9db9df074dc0",14,0,,0,1,,2,,
"07b6c4f12d054292b7b786ef2dd45835",3,1,2500,1,1,,2,,
"07b6c4f12d054292b7b786ef2dd45835",1,2,12000,2,1,,2,,
"07cc9720213b487385812471bc510785",3,0,,1,1,,1,1,0
"07cc9720213b487385812471bc510785",1,3,15000,2,1,,2,,
"0809936839be4f8b99293dee0663fc53",14,0,,0,1,,1,2,40000
"0809936839be4f8b99293dee0663fc53",3,1,3000,1,1,,2,,
"0809936839be4f8b99293dee0663fc53",1,3,20000,3,1,,2,,
"082757b50eee4bc29551c3c3c30639da",3,4,10000,4,1,,2,,
"082757b50eee4bc29551c3c3c30639da",1,5,30000,5,1,,2,,
"082757b50eee4bc29551c3c3c30639da",19,2,200000,2,1,,2,,
"082757b50eee4bc29551c3c3c30639da",21,1,70000,1,1,,2,,
"082757b50eee4bc29551c3c3c30639da",12,1,2000,1,1,,2,,
"0838ec2a8a6147e4936272a5b65b909c",3,1,3500,1,1,,2,,
"0838ec2a8a6147e4936272a5b65b909c",1,4,20000,4,1,,2,,
"083ade125b70414ba6257ff498afe1f4",1,1,5000,2,1,,2,,
"0860ea9bebf44de1ac82a1e0e866a570",1,1,1000,1,1,,2,,
"0860ea9bebf44de1ac82a1e0e866a570",3,1,3000,1,1,,2,,
"0870d2355d1c498caee91988946dea92",3,0,,0,1,,2,,
"0870d2355d1c498caee91988946dea92",4,0,,0,1,,2,,
"0870d2355d1c498caee91988946dea92",1,3,23000,2,1,,2,,
"0870d2355d1c498caee91988946dea92",22,0,,0,1,,2,,
"088d7d7eb37b4683b391bf34b48482d2",8,1,3000,1,1,,2,,
"088d7d7eb37b4683b391bf34b48482d2",1,3,13000,1,1,,1,1,0
"088d7d7eb37b4683b391bf34b48482d2",3,1,3000,1,1,,1,1,0
"088fd07aa1784231a7b800bf54b769fd",1,1,6000,1,1,,2,,
"088fd07aa1784231a7b800bf54b769fd",3,1,3500,1,1,,2,,
"088fd07aa1784231a7b800bf54b769fd",8,1,2500,1,1,,2,,
"089f1c1e30d94938ad4a28294030f670",3,2,10000,2,1,,2,,
"089f1c1e30d94938ad4a28294030f670",4,2,12000,2,1,,2,,
"089f1c1e30d94938ad4a28294030f670",5,1,90000,1,1,,2,,
"089f1c1e30d94938ad4a28294030f670",1,2,16000,2,1,,2,,
"089f1c1e30d94938ad4a28294030f670",19,2,1000000,2,1,,2,,
"089f1c1e30d94938ad4a28294030f670",12,3,15000,3,1,,2,,
"08a622bfb26f4199bde601e058ccf58d",1,1,5000,1,1,,1,1,0
"08a622bfb26f4199bde601e058ccf58d",14,0,,0,1,,1,1,0
"08a622bfb26f4199bde601e058ccf58d",3,0,,0,1,,1,1,0
"08e85672338a4515b2a6ab61f4c5c32d",1,2,6000,2,1,,2,,
"08e85672338a4515b2a6ab61f4c5c32d",4,1,3500,1,1,,2,,
"08e85672338a4515b2a6ab61f4c5c32d",3,2,8000,2,1,,2,,
"08e85672338a4515b2a6ab61f4c5c32d",8,1,4000,1,1,,2,,
"08e85672338a4515b2a6ab61f4c5c32d",13,1,4000,1,1,,2,,
"08f5b8dae9774128b354032393f6d40f",3,1,5000,1,1,,2,,
"08f5b8dae9774128b354032393f6d40f",1,1,7000,1,1,,2,,
"08fbc3b8e815467dbc0727e5da6aa1c7",3,1,5000,1,1,,2,,
"08fbc3b8e815467dbc0727e5da6aa1c7",1,2,20000,2,1,,2,,
"08fbc3b8e815467dbc0727e5da6aa1c7",12,1,12000,1,1,,2,,
"08fecb64841f493c87c3c24f97d3b1f0",1,1,3000,1,1,,2,,
"08fecb64841f493c87c3c24f97d3b1f0",3,1,1500,1,1,,2,,
"08fecb64841f493c87c3c24f97d3b1f0",12,1,2000,1,1,,2,,
"090f972306904a6d8a21853b2415b8e6",3,1,5000,1,1,,2,,
"090f972306904a6d8a21853b2415b8e6",1,3,15000,3,1,,2,,
"090f972306904a6d8a21853b2415b8e6",4,1,3000,1,1,,2,,
"091517b1a65147a7a3aa3b6c93500495",19,0,,0,1,,1,3,6000
"091517b1a65147a7a3aa3b6c93500495",1,3,12000,6,1,,1,1,5000
"091517b1a65147a7a3aa3b6c93500495",3,1,3500,1,1,,2,,
"091517b1a65147a7a3aa3b6c93500495",4,0,,1,1,,1,1,3000
"091517b1a65147a7a3aa3b6c93500495",14,1,170000,1,1,,2,,
"091931736aa74c1c900335dad7a3f709",3,1,3500,1,1,,2,,
"091931736aa74c1c900335dad7a3f709",14,0,,0,1,,1,1,0
"091931736aa74c1c900335dad7a3f709",22,1,8000,1,1,,2,,
"091931736aa74c1c900335dad7a3f709",1,2,12000,2,1,,2,,
"093cbecd77b441179f3704a9d5bb4367",3,1,5000,1,1,,2,,
"093cbecd77b441179f3704a9d5bb4367",1,2,15000,2,1,,2,,
"09864be193f04de1a1c62f8e2e3fb3f5",3,2,3500,2,1,,2,,
"09864be193f04de1a1c62f8e2e3fb3f5",1,2,10000,2,1,,2,,
"09c9f51b98214abca30f1cc1accd7cb9",5,1,6500,1,1,,2,,
"09c9f51b98214abca30f1cc1accd7cb9",1,8,45000,8,1,,2,,
"09c9f51b98214abca30f1cc1accd7cb9",3,3,12000,3,1,,2,,
"09f959c903de48f1a7656b5f988d01fe",12,1,6000,1,1,,2,,
"09f959c903de48f1a7656b5f988d01fe",19,1,45000,1,1,,1,1,0
"09f959c903de48f1a7656b5f988d01fe",3,6,20000,6,1,,1,2,0
"09f959c903de48f1a7656b5f988d01fe",4,2,10000,2,1,,2,,
"09f959c903de48f1a7656b5f988d01fe",1,5,30000,5,1,,2,,
"0a1d569220474ae5a850ea9ffecd7397",1,1,10000,1,1,,2,,
"0a33bbb4716e43918e2dcb131f616aff",3,1,3500,1,1,,1,1,1000
"0a33bbb4716e43918e2dcb131f616aff",1,3,24000,2,1,,2,,
"0aa52ee740e54bc18a97dea9206c4dfb",3,1,3000,1,1,,2,,
