"hhid","h9q03a__1","h9q03a__2","h9q03a__3","h9q03a__4","h9q03a__5","h9q03a__7","h9q03a__6","h9q11a","h9q12a","h9q13a","h9q14a","h9q15a","h9q16a"
"06b36c2c9668465ead2665345a45355a",2,2,2,2,2,2,2,2,2,2,,2,2
"06ca2b010f7a4724a51adc2505df2e10",2,2,2,2,2,2,2,1,2,1,2,2,2
"072bede7173b42a9b15f6d873387591a",2,2,2,2,2,2,2,2,2,2,,2,2
"07446a0d279c4168ae5f4a5aab842b4d",2,2,2,2,2,2,2,1,2,2,,2,2
"074abb9330f84c72b0f136f6fc38d00d",2,2,2,2,2,2,2,2,2,2,,2,2
"0753ace2876b4833a3bb185a04440fe8",2,2,2,2,2,2,2,1,1,1,2,1,2
"078096ed82bd4b369317a5c4329d7dd8",2,2,2,2,2,2,2,2,2,2,,2,2
"079da0c0a73b465b9c0be7a5bd9bf920",2,2,2,2,2,2,2,2,2,2,,2,2
"079e6812fb50405bbe8cb744b5ef6afd",2,2,2,2,2,2,2,2,2,2,,2,2
"07b346723489448b99ea7d75a5cd2458",2,2,2,2,2,2,2,2,2,2,,2,2
"07b5c28dd52642b69def9db9df074dc0",2,2,2,2,2,2,2,2,2,2,,2,2
"07b6c4f12d054292b7b786ef2dd45835",2,2,2,2,2,2,2,1,2,2,,2,2
"07cc9720213b487385812471bc510785",2,2,2,2,2,2,2,1,2,2,,2,2
"0809936839be4f8b99293dee0663fc53",2,2,2,2,2,2,2,1,2,2,,2,2
"082757b50eee4bc29551c3c3c30639da",2,2,2,2,2,2,2,1,2,1,2,1,2
"0838ec2a8a6147e4936272a5b65b909c",2,2,2,2,2,2,2,2,2,2,,2,2
"083ade125b70414ba6257ff498afe1f4",2,2,2,2,2,2,2,1,2,2,,2,2
"0860ea9bebf44de1ac82a1e0e866a570",2,2,2,2,2,2,,1,2,1,1,1,2
"0870d2355d1c498caee91988946dea92",2,2,2,2,2,2,2,2,2,2,,2,2
"088d7d7eb37b4683b391bf34b48482d2",2,2,,2,2,2,2,2,2,2,,2,2
"088fd07aa1784231a7b800bf54b769fd",2,2,2,2,2,2,2,2,1,2,,2,2
"089f1c1e30d94938ad4a28294030f670",2,2,2,2,2,2,2,1,2,2,,2,2
"08a622bfb26f4199bde601e058ccf58d",2,2,2,2,2,2,2,2,2,2,,2,2
"08e85672338a4515b2a6ab61f4c5c32d",2,2,2,2,2,2,2,2,2,2,,2,2
"08f5b8dae9774128b354032393f6d40f",2,2,2,2,2,2,2,2,2,2,,2,2
"08fbc3b8e815467dbc0727e5da6aa1c7",2,2,2,2,2,2,2,2,2,2,,2,2
"08fecb64841f493c87c3c24f97d3b1f0",2,2,2,2,2,2,2,1,2,1,2,2,2
"090f972306904a6d8a21853b2415b8e6",2,2,2,2,2,2,2,1,2,2,,2,2
"091517b1a65147a7a3aa3b6c93500495",2,2,2,2,2,2,2,1,1,1,2,2,1
"091931736aa74c1c900335dad7a3f709",2,2,2,2,2,2,2,2,2,2,,2,2
"093cbecd77b441179f3704a9d5bb4367",2,2,2,2,2,2,2,2,2,2,,2,2
"09864be193f04de1a1c62f8e2e3fb3f5",2,2,2,2,2,2,2,2,2,2,,2,2
"09c9f51b98214abca30f1cc1accd7cb9",2,2,2,2,2,2,2,2,2,2,,2,2
"09f959c903de48f1a7656b5f988d01fe",2,2,2,2,2,2,2,1,2,1,2,1,2
"0a1d569220474ae5a850ea9ffecd7397",2,2,2,2,2,2,2,2,2,2,,2,2
"0a33bbb4716e43918e2dcb131f616aff",2,2,2,2,2,2,2,1,2,1,2,1,2
"0aa52ee740e54bc18a97dea9206c4dfb",2,2,2,2,2,2,2,1,2,1,2,1,2
"0aaa3c3864af4ed5976f59eea475f982",2,2,2,2,2,2,2,1,2,1,2,2,2
"0ab0754b5398494b863f05891f237892",2,2,2,2,2,2,2,1,2,2,,2,2
"0ab702b9c7c04f3786e3af7ff5949cc1",2,2,2,2,2,2,2,2,2,2,,2,2
"0af10a2d6b914d418b2b5b671d12d653",2,2,2,2,2,2,2,1,2,1,2,1,2
"0b3b982602d04173ad3b1e70959cbfd3",2,2,2,2,2,2,2,2,2,2,,2,2
"0b579d265ed34359a56af2f15ae4d081",2,2,2,2,2,2,2,1,2,1,2,1,2
"0b5d1c5449044517bcce04bac511725e",2,2,1,2,2,2,2,2,2,2,,2,2
"0b5f5af0b2464b878ac5c214e294cf3b",2,2,2,2,2,2,2,2,2,2,,2,2
"0b95a1e8ac1f432da2425f0e135e45c0",2,2,2,2,2,1,2,1,2,1,1,2,2
"0ba00f819c6a456f90b6b9ddca903379",2,2,2,2,2,2,2,2,2,2,,2,2
"0ba4bc0924e449f6b395dae115acc723",2,2,2,2,2,2,2,2,2,2,,2,2
"0bc5ec21008a47488be5243e01553a26",2,2,2,2,2,2,2,2,2,2,,2,2
"0bcc7f6fcdc64e7f925c80713a7d5db4",2,2,2,2,2,2,2,2,2,2,,2,2
"0c0509871b5f4941aac4d7f09d0451bf",1,2,2,2,2,2,2,1,1,1,1,2,2
"0c22a7dbc0cb4cbea89c01a94b82c7e1",2,2,2,2,2,2,2,1,2,1,2,2,2
"0c4001e96413427da9ec508f97d215bc",1,1,2,1,2,2,2,1,1,1,1,1,1
"0c496dcf23954cbba6f1ab6830c998fb",2,2,2,2,2,2,2,1,2,2,,2,2
"0c4a4cf0e7ea4067b33aaa955c36715f",2,2,1,2,2,2,2,2,2,2,,2,2
"0c6412b6bb304caab71edeea852ef471",2,2,2,2,2,2,2,2,2,2,,2,2
"0c818a61c1164978a7d822e925de9e03",2,2,2,2,2,2,2,1,2,1,2,1,2
"0ca9880b3e5a43ee9ec44c9863b2f236",2,2,2,2,2,2,2,2,2,2,,2,2
"0cac75ed84684d18b700549a520c0f1f",2,2,2,2,2,2,2,2,2,2,,2,2
"0cceefffc29f4817b783a8cd577393d7",2,2,2,2,2,2,2,2,2,2,,2,2
"0cd035c06c3647fab7f198d760f73e98",1,2,2,2,2,2,2,1,1,1,1,1,1
"0cf5ba3c4a7e4b379ed786599920157c",2,2,2,2,2,2,2,2,2,2,,2,2
"0cfefdeb042a4b39af8af9a6a53cadba",2,2,2,2,2,2,2,1,2,1,2,1,2
"0d1155056d5a49f592537fdeea3284d3",2,2,2,2,2,,2,1,2,1,2,2,2
"0d1423b6187b4666aab92778cd5e4050",2,2,2,2,2,2,2,1,2,2,,2,2
"0d7289cae2764986bbda9ba03d3c2b5f",2,2,2,2,2,2,2,2,2,2,,2,2
"0d86f0684d594491a7ed8c12b10742b4",2,2,2,2,2,2,2,2,2,2,,2,2
"0d9810cde32d470bbcea579035125672",2,2,2,2,2,2,2,2,2,2,,2,2
"0dac56419262429c8f0ca39b7a7c55fc",1,2,2,2,2,2,2,1,2,1,1,1,1
"0dcf445c997649629cfe96bdbe03d028",2,2,2,2,2,2,2,2,2,2,,2,2
"0df40545b17a4ed5942118afbcd884a6",2,2,2,2,2,2,2,1,2,1,2,1,2
"0df87c6cba494e029a4a6e846462b4e8",2,2,2,2,2,2,2,2,2,2,,2,2
"0df97c022ab34484ba98c8f65f2ada36",2,2,2,2,2,2,2,2,2,2,,2,2
"0e0d592eae8546e29fa5672ad599d418",2,2,2,2,2,2,2,2,2,2,,2,2
"0e102ce9336c4724a1e17db925d74f0d",2,2,2,2,2,2,2,2,2,2,,2,2
"0e3cce40118845f3b1d19bf598b412c7",2,2,2,2,2,2,2,1,2,2,,2,2
"0e49f87a31fa443584ec7df8acca506e",2,2,2,2,2,2,2,1,2,2,,2,2
"0e849b1e76e7470b972a4130b79ee9aa",2,2,2,2,2,2,2,1,2,1,2,1,2
"0eb4081fc0ce4fb587566bae32097f9f",2,2,,2,2,2,2,2,2,2,,2,2
"0ef621acc60143a99dd39acdf4e1fdc6",2,2,2,2,2,2,2,1,2,2,,2,1
"0effe952b7be4f59ad5382bc3643699f",2,2,2,2,2,2,2,2,2,2,,2,2
"0f0b2f51e6444b9eae2db618e9c8c086",2,2,2,2,2,2,2,2,1,2,,2,2
"0f0c9b09e6d6402d96c23f7c3fd90b1d",2,2,2,2,2,2,2,2,2,2,,2,2
"0f120ff4c01e4c2bacbc7c513fbb1d9f",2,2,2,2,2,2,2,2,2,2,,2,2
"0f50e94a1c4846ed9fbbb1db8394476f",2,2,2,2,2,2,2,1,2,2,,2,2
"0f799e7ce9224d0aae0da65f6c9f0860",2,2,2,2,2,2,2,1,2,1,2,1,2
"0f8c738dfb7d4256b29784c4528caf95",2,2,2,2,2,2,2,1,2,2,,2,2
"0f8f2b0cc7a84d8d8e21442c1828a004",2,2,2,2,2,2,2,1,2,1,2,2,2
"0f96f2f08b13450f8f8534815f565d6a",2,2,2,2,2,2,2,1,2,1,2,2,2
"0fce92d4977d4f40bbfd03850e836f41",2,2,2,2,2,2,2,1,2,2,,2,2
"1007d8148aa340fb9a57a7acc47815d9",2,2,2,2,2,2,2,2,2,2,,2,2
"100efbd880dd42ae8de85a4f51c76e1d",2,2,2,2,2,2,2,2,2,2,,2,2
"106e62b69ccd4b5eb8be8453f362c3e4",2,2,2,2,2,2,2,1,2,2,,2,2
"1077485d26ad4ccf8204fd689b25af85",2,2,2,2,2,2,2,1,2,2,,2,2
"1080d7ee40774255aaad103a1649b0d9",2,2,2,2,2,2,2,2,2,2,,2,2
"10ab9a4c247440f59907df17fc6a4903",2,2,2,2,2,2,2,2,2,2,,2,2
"10b41d09cfce4c09a5893c1ece7baf60",2,2,2,2,2,2,2,2,2,2,,2,2
"10bc6b069d1043d7842d42e00e77e3b3",2,1,1,2,2,2,2,1,2,1,2,1,2
"10de89a4467f4695b9cbc4ff047645ad",2,2,2,2,2,2,2,1,2,1,2,1,2
"10f7273800934853a99514f2c9bf3580",2,2,2,2,2,2,2,2,2,2,,2,2
"11071ed7d8a44327a0e7e3eb61f26633",2,2,2,2,2,2,2,1,2,2,,2,2
"1112c2eca9fc455a9a63e4fa51e352ab",2,2,2,2,2,2,2,2,2,2,,2,2
"11374e7021354243a76d552aa08240f1",2,2,2,2,2,2,2,2,2,2,,2,2
"114b358f60a641a59cb3be10f748e144",2,2,2,2,2,2,2,2,2,2,,2,2
"115133c671c54c2b8da92613a289c8b8",2,2,2,2,2,2,2,1,2,1,2,1,2
"1152a2d0a61840e29ec5ab12bcea2e2d",2,2,2,2,2,2,2,1,2,1,2,1,2
"1158beb5ce1a4af79f14684f8a1d1118",1,2,2,2,2,2,2,1,2,1,2,2,2
"11733cd5dcc74cc8a4fbf0a4175a48cb",2,2,2,2,2,2,2,2,2,2,,2,2
"11849db1f29e4b0cb08e6eeda1fbfb30",2,2,2,2,2,2,2,1,2,2,,2,2
"118ed11d7bd54ee7b214583d466c80bb",2,2,2,2,2,2,2,2,2,2,,2,2
"11bfaed58e4c47f091ef5056dcaa2199",2,2,2,2,2,2,2,2,2,2,,2,2
"11d3ccc53e8a44cdaa7264dd9d8296fc",2,2,2,2,2,2,2,1,2,2,,2,2
"1220b33997d548b8b3cecbd4ca1e3e2a",2,2,1,2,2,2,2,2,2,2,,2,2
"122b45c8ede343909405d719aa98f674",2,2,2,2,2,2,2,2,2,2,,2,2
"125a8b98e48c4f36a498582fed322d9e",2,2,2,2,2,2,2,2,2,2,,2,2
"127f15a55af74b54bab9b6bf6d995bdd",2,2,2,2,2,2,2,2,2,2,,2,2
"129e90e0b1534943b07e61e5b50d632b",2,2,2,2,2,2,2,2,2,2,,2,2
"12bc37b16e004845a7e6b13b4d5f6dce",2,2,2,2,2,2,1,2,2,2,,2,2
"12d9093756604f24b9255e1ba86dbd4f",2,2,2,2,2,2,2,2,2,2,,2,2
"12f5ebcc6aa8416d9bae426583f43f89",2,2,2,2,2,2,2,2,2,2,,2,2
"131d9d8b687841c6b70b01782950c1a2",2,2,2,2,2,2,2,2,2,2,,2,2
"132b9b8ef3e846abb4dd11ffa45e55f0",2,2,2,2,2,2,2,1,2,1,2,1,2
"134dea57e9e541b1a86cf5a20e5e0e39",2,2,2,2,2,2,2,2,2,2,,2,2
"1352711330774897bf79dee40417879c",2,2,2,2,2,2,2,2,2,2,,2,2
"139242bfd93d4d5481216a222524d04b",2,1,2,2,2,2,2,1,1,2,,2,2
"13bbb610652645e3bde6239310be0af2",2,2,2,2,2,1,2,1,1,1,2,1,2
"13c0ac9e60234803a737099cd94a24c1",2,2,2,2,2,2,2,2,2,2,,2,2
"13e99b34bc8249d7a5ad165092976057",2,2,2,2,2,2,2,2,2,2,,2,2
"13f80bce97ac4ebcbddba301387071e6",2,2,2,2,2,2,2,2,2,2,,2,2
"14039c7d7a0b49049dff1fcb05a5ca5c",2,2,2,2,2,2,2,2,2,2,,2,2
"140e9bb1a3a94f3d86379851b51e3122",2,2,2,2,2,2,2,1,2,2,,1,2
"1410e723b01e4bf69e78d9ab6721cff6",2,2,1,2,2,2,2,2,2,2,,2,2
"144b7e78b04746d4bf4b3a17e62eae1c",2,2,2,2,2,2,2,1,2,1,2,2,2
"14c964349c5141a391cbaeb77f2f14ad",2,2,2,2,2,2,2,2,2,2,,2,2
"14e10f677117459db2b9b2895e7c722e",2,1,2,2,2,2,2,2,2,2,,2,2
"14e84fa832224b5a9677a2faf2867e91",2,2,2,2,2,2,2,1,2,2,,2,2
"150492bae7f649c09544dece19749fda",2,2,2,2,2,2,2,2,2,2,,2,2
"153130f9590e4b59a237bbcd326d58ce",2,2,2,2,2,2,2,2,2,2,,2,2
"1536a495d0ee472595d692c6865f5203",1,2,2,2,2,2,2,1,1,1,1,2,2
"15427620b2844715a0283e4a1a08f8b2",2,2,2,2,2,2,2,2,2,1,2,1,2
"154d7de01c32469fbf4aae1ad7feff51",2,2,2,2,2,2,2,2,2,2,,2,2
"157a396573164b868b4082633fcfe851",2,2,2,2,2,1,2,1,1,1,1,1,1
"158d74a7b23c4793980a9fbb1e7d1495",2,2,2,2,2,2,2,2,2,2,,2,2
"15fe3b6164aa476cb57d96fb94be4353",2,2,2,1,2,2,2,1,2,1,2,1,2
"165a1e8e700c4e6f9977913e11df0a97",2,2,2,2,2,2,2,1,2,1,2,2,2
"16821330e76d4edcb91f14caa98a742c",2,2,2,2,2,2,2,2,2,2,,2,2
"16a01c5d7fbb4e27922ce41c63b9e54d",2,2,2,2,2,2,2,2,2,2,,2,2
"16a65db8e5df4fe6b616fa82ff725250",2,2,2,2,2,2,2,2,2,2,,2,2
"16b9068818d64231a1bbdba1fc52fdfb",2,2,2,2,2,2,2,2,2,2,,2,2
"16caa101b05c4019b6297053ddc9eafe",2,2,2,2,2,2,2,2,2,2,,2,2
"16d9c3532f1b4ebd90bba4405437849e",2,2,2,2,2,2,2,2,2,2,,2,2
"171286d2a1c3410db9dbdc17ac20ec52",2,2,2,2,2,2,2,1,2,1,2,2,2
"17233724877245b09fb85a552e6c44a7",2,2,2,2,2,2,2,1,2,2,,2,2
"1729c4f5581e4aceb8f17d06fce15ed4",2,2,2,2,2,2,2,2,2,2,,2,2
"172ef9d000384fd187798123563776cf",2,2,2,2,2,2,2,1,2,2,,2,2
"175e0d6d699a42bb8f960c310b38ae2f",2,2,2,2,2,2,2,1,2,2,,2,2
"175e7c6516be47beacb811ab86baffaa",2,2,2,2,2,2,2,2,2,2,,2,2
"1772cebbea394b50ae2cb4b1d5941271",2,2,2,2,2,2,2,2,2,2,,2,2
"17a52aa31b0a4f878010b643c427e444",2,2,2,2,2,2,2,2,2,2,,2,2
"17a884c8ed9e4ea891be76efa97d08c6",2,2,2,2,2,2,2,2,2,2,,2,2
"17b3a7f9a9bb48608d1561619d7ab66e",2,2,2,2,2,2,2,2,2,2,,2,2
"17d493f37f5240f1ab444e863bf4a430",2,2,2,2,2,2,2,2,2,2,,2,2
"17db6bf081a049a797045f58dca08f5a",2,2,2,2,2,2,2,2,2,2,,2,2
"17efd64876a946c4ac7ac548aa933c41",2,2,2,2,2,2,2,1,2,2,,2,2
"1809992688f34d19aba69ca61dccba88",2,2,2,2,2,2,2,2,2,2,,2,2
"1829393f16384cd39325367c3eeb12d8",2,2,2,2,2,2,2,2,2,2,,2,2
"18503ab4e314401a8ac5a5eb63ab4351",2,2,2,2,2,2,2,2,2,2,,2,2
"185b5db716174215b73431c7b0cb26e0",2,2,2,2,2,2,2,2,2,2,,2,2
"185fa75d1dfe4935bfc03ea2af633a33",2,2,2,2,2,2,2,1,2,1,2,2,2
"188362933a9141d397ea8451677d4c14",2,2,2,2,2,2,2,1,2,2,,2,2
"189536676ac046498cf5c5eb0e7c6468",2,2,2,2,2,2,2,2,2,2,,2,2
"18999e7f64fc4843a27c7c089bafb852",2,2,2,2,2,2,2,2,2,2,,2,2
"189b8ce109954a3cb8c7e9df07e39927",2,2,2,2,2,2,2,1,1,1,1,1,1
"18a09e7e60274c099838f40ab9ac837a",2,2,2,2,2,2,2,1,2,1,2,1,2
"18d147679fcc498fa80763df9172e233",2,2,2,2,2,2,2,2,2,2,,2,2
"18ee43e9bf844ba180f87da8b3d47882",2,2,2,2,2,2,2,1,2,2,,2,2
"191014f8dc824e02b771df097ede918b",2,2,2,2,2,2,2,2,2,2,,2,2
"191d75d796be49808dd3a85c7ebe8b7c",1,2,2,2,2,2,2,1,1,1,2,2,2
"1929687f2461441e8c309b794682d421",2,2,2,2,2,2,2,2,2,2,,2,2
"193cf962b1a344c185c6cefba882b7d4",2,2,2,2,2,2,2,1,2,1,2,1,2
"19791a37650a40e3b6310d5ce84d57d2",2,2,2,2,2,2,2,2,2,2,,2,2
"19bff18dc94b4c83a0f5fb0746fce3e9",2,2,2,2,2,2,2,1,2,1,2,1,2
"19e3862e9e4249d0b664dbc991572348",2,2,2,2,2,2,2,2,2,2,,2,2
"1a01e7d9d0d74b5ab6f701c27ee0ff78",2,2,2,2,2,2,2,2,2,2,,2,2
"1a03b0acb8ae4c9d94ee696cb2c287c8",2,2,2,2,2,2,2,1,2,1,1,2,2
"1a1a6e6fcf724e5ca55581d79b4de34b",2,2,2,2,2,2,2,2,2,2,,2,2
"1a4a64aab3314acc8fd17e8fe7edc072",2,2,2,2,2,2,2,2,2,2,,2,2
"1a4ac0322d4c4cad97376ec4268cf20d",2,2,2,2,2,2,2,2,2,2,,2,2
"1a62404292aa4adeb445409eb5ee7a18",2,2,2,2,2,2,2,2,2,2,,2,2
"1a7b65d9be58490a88575b2cdf6f9c2e",2,2,2,2,2,2,2,2,2,2,,2,2
"1a84383c92324677a36acd35ee170405",2,2,2,2,2,2,2,2,2,2,,2,2
"1af76d643b15430ba98ecdbc7e76f894",2,2,2,2,2,2,2,2,2,2,,2,2
"1af78993dda447e9b94e6fd57d9f9759",2,2,2,2,2,2,2,2,2,2,,2,2
"1b3281db1d2047f88013a14f5df40e67",2,2,2,2,2,2,2,2,2,2,,2,2
"1b4d2861ba324ff69848b23c99fb8db4",2,2,2,2,2,2,2,2,2,2,,2,2
"1b53079ceaf94e0396763c32908ac53f",2,2,2,2,2,2,2,1,2,1,2,1,2
"1b9524c2d54d4b21a04f315504d5c5ac",2,2,2,2,2,2,2,2,2,2,,2,2
"1bb5cbd1e2e247dc961520e4bf821f00",2,2,2,2,2,2,2,2,2,2,,2,2
"1bbe3e1e27a84b0cbfb525ee53dc07e4",2,2,2,2,2,2,2,2,2,2,,2,2
"1bdbf2c002c341fdb27ba09e8608f4e7",2,2,2,2,2,2,1,2,2,2,,2,2
"1bed181d3f7c4153bb232db5f5d5c324",2,2,2,2,2,2,2,1,2,2,,2,2
"1bf61c5bcfd74e12b82a527d13da7d36",2,2,2,2,2,2,2,1,2,2,,2,2
"1c1f76468bfa437d9109f20381751066",2,2,2,2,2,2,2,2,2,2,,2,2
"1c337f7b888a44fd836b267fa7edbc2f",2,2,2,2,2,2,2,2,2,2,,2,2
"1c3b57aa045e44bca50b6599b2524740",2,2,2,2,2,2,2,2,2,2,,2,2
"1c41b5d7c9f943f2aee30403e83b187d",2,2,2,2,2,2,2,1,2,2,,2,2
"1c4214f6641e482591c91735f5d022b0",2,2,2,2,2,2,2,2,2,2,,2,2
"1c9e0c6842514df987190903df844a48",2,1,2,2,2,2,2,2,2,2,,2,2
"1cd54786022c47f3899ca5555cc6df40",2,2,2,2,2,2,2,1,2,2,,2,2
"1d08f9327ffe4cf5b5a8e352295deec3",2,2,2,2,2,2,2,2,2,2,,2,2
"1d1b0112e5fc4665b6259b6538dc0939",2,2,2,2,2,2,2,1,2,1,2,2,2
"1d291ad33f6e4704b68c1b8862f7cc64",2,2,2,2,2,2,2,2,2,2,,2,2
"1d2ab5a3173643ebb4ed90978390cf51",2,2,2,2,2,2,2,2,2,2,,2,2
"1d47458568984727844c852213f7ede1",2,2,2,2,2,2,2,2,2,2,,2,2
