"hhid","parcelID","pltid","cropID","s5aq05_1","s5aq05_2","harvest","s5aq06b_1","s5aq06a_1","s5aq06c_1","s5aq06d_1","s5aq06e_1","s5aq06e_1_1","s5aq06f_1","s5aq06f_1_1","s5aq06a_1_1","s5aq06a_2_1","s5aq06a3_1","s5aq06a4_1","s5aq07a_1","s5aq07b_1","s5aq07c_1","s5aq08_1","s5aq09_1","s5aq10_1","s5aq11e_1","s5aq11f_1","s5aq11g_1","s5aq11h_1","s5aq12_1","s5aq13_1","s5aq14a_1","s5aq14b_1","s5aq15_1","s5aq16_1","s5aq17_1","s5aq18_1","s5aq19_1","s5aq20_1","s5aq21_1","s5aq22_1","s5aq23a_1","s5aq23b_1","s5aq06b_2","s5aq06a_2","s5aq06c_2","s5aq06d_2","s5aq06e_2","s5aq06e_1_2","s5aq06f_2","s5aq06f_1_2","s5aq06a_1_2","s5aq06a_2_2","s5aq06a3_2","s5aq06a4_2","s5aq07a_2","s5aq07b_2","s5aq07c_2","s5aq08_2","s5aq09_2","s5aq10_2","s5aq11e_2","s5aq11f_2","s5aq11g_2","s5aq11h_2","s5aq12_2","s5aq13_2","s5aq14a_2","s5aq14b_2","s5aq15_2","s5aq16_2","s5aq17_2","s5aq18_2","s5aq19_2","s5aq20_2","s5aq21_2","s5aq23a_2","s5aq23b_2","harvest1","s5aq06b_11","s5aq06a_11","s5aq06c_11","s5aq06d_11","s5aq06e_11","s5aq06e_1_11","s5aq06f_11","s5aq06f_1_11","s5aq06a_1_11","s5aq06a_2_11","s5aq06a3_11","s5aq06a4_11","s5aq07a_11","s5aq07b_11","s5aq07c_11","s5aq08_11","s5aq09_11","s5aq10_11","s5aq11e_11","s5aq11f_11","s5aq11g_11","s5aq11h_11","s5aq12_11","s5aq13_11","s5aq14a_11","s5aq14b_11","s5aq15_11","s5aq16_11","s5aq17_11","s5aq18_11","s5aq19_11","s5aq20_11","s5aq21_11","s5aq22_11","s5aq23a_11","s5aq23b_11","s5aq06b_21","s5aq06a_21","s5aq06c_21","s5aq06d_21","s5aq06e_21","s5aq06e_1_21","s5aq06f_21","s5aq06f_1_21","s5aq06a_1_21","s5aq06a_2_21","s5aq06a3_21","s5aq06a4_21","s5aq07a_21","s5aq07b_21","s5aq07c_21","s5aq08_21","s5aq09_21","s5aq10_21","s5aq11e_21","s5aq11f_21","s5aq11g_21","s5aq11h_21","s5aq12_21","s5aq13_21","s5aq14a_21","s5aq14b_21","s5aq15_21","s5aq16_21","s5aq17_21","s5aq18_21","s5aq19_21","s5aq20_21","s5aq21_21","s5aq23a_21","s5aq23b_21"
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,130,1,2,1,22,1,23,5,11,2018,11,2018,1,1,,,0,,,,,,,,,,0.5,0.5,0,0,0,0,,6,2,,0,,3,,39,1,33,5,12,2018,12,2018,1,1,,,0,,,,,,,,,,0,1,0,0,0,0,,4,1,96,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,210,1,2,1,22,1,24,5,10,2018,10,2018,1,1,,,0,,,,,,,,,,0.5,0.5,0,0,0,0,,6,2,,0,,3,,18,1,35,3,11,2018,11,2018,1,1,,,0,,,,,,,,,,0,1,0,0,0,0,,4,1,4,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,744,1,2,1,69,5,20,2,7,2018,12,2018,1,1,,,0,,,,,,,,,,2,3,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,811,1,2,1,10,5,35,75,10,2018,12,2018,1,1,,,5,35,10,750000,2,0,1,1,,,0,0,0,0,0,0,,4,1,4,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,630,1,2,1,10,1,20,120,12,2018,2,2019,1,1,,,0,,,,,,,,,,0.5,0.5,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,741,1,2,1,67,15,20,8,7,2018,12,2018,1,1,,,10,20,67,150000,5,0,1,1,,,0,5,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,620,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,1,210,1,2,1,22,1,45,20,11,2018,11,2018,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,1,130,1,2,1,22,1,45,17,11,2018,11,2018,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,2,630,1,2,1,9,20,20,120,3,2018,3,2019,2,,1,2,6,20,9,180000,2,0,2,,1,2,0,14,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,1,130,1,2,1,10,1,45,100,12,2018,12,2018,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,4,1,4,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,1,210,1,2,1,1,20,45,1,11,2018,11,2018,2,,1,2,0,,,,,,,,,,5,15,0,0,0,0,,4,1,4,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",3,1,320,1,2,1,1,100,45,1,12,2018,12,2018,2,,1,2,50,45,1,50000,2,0,2,,1,2,10,20,0,0,20,0,,4,1,4,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,210,1,2,1,22,3,14,10,11,2018,12,2018,1,1,,,0,,,,,,,,,,3,0,0,0,0,0,,6,2,,0,,1,4,22,2,45,20,12,2018,12,2018,1,1,,,0,,,,,,,,,,0,1.5,0,0,0.5,0,,6,2,,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,630,1,2,1,22,10,20,15,12,2018,2,2019,1,1,,,2,20,22,30000,4,0,1,1,,,0,8,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",1,1,130,1,2,1,39,2,22,5,12,2018,12,2018,1,1,,,0,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,1,4,15,3,45,20,1,2019,1,2019,2,,1,2,0,,,,,,,,,,0,2.5,0,0,0.5,0,,6,2,,0,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,812,1,2,1,10,3,44,60,7,2018,9,2018,1,1,,,3,44,10,360000,3,0,2,,1,2,0,0,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,741,1,2,1,69,12,20,8,7,2018,12,2018,1,1,,,0,,,,,,,,,,0,12,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,1,630,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,1,141,,2,1,10,2,45,100,12,2018,1,2019,2,,,,0,,,,,,,,,,0.5,0.5,0,0,1,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,1,630,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",1,1,741,1,2,1,69,25,20,7,7,2018,12,2018,2,,1,,10,20,69,5000,2,0,1,1,,,5,10,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,811,8,2,1,1,20,20,1,8,2018,12,2018,1,1,,,20,20,1,30000,2,0,1,1,,,0,0,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,210,8,2,1,1,20,45,1,11,2018,12,2018,1,1,,,0,,,,,,,,,,0,20,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,741,8,2,1,91,7,20,25,7,2018,12,2018,1,1,,,0,,,,,,,,,,0,7,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,210,8,2,1,1,100,45,1,10,2018,12,2018,1,8,,,80,45,1,64000,2,0,1,1,,,0,7,0,0,13,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,741,1,2,1,68,15,22,25,7,2018,12,2018,1,1,,,0,,,,,,,,,,2,13,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,811,1,2,1,1,120,14,1,8,2018,12,2018,1,1,,,120,14,1,240000,2,0,1,1,,,0,0,0,0,0,0,,7,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,630,1,2,1,9,2,20,120,5,2018,1,2019,1,1,,,1,20,9,40000,4,0,1,1,,,0,1,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",1,1,741,5,2,1,68,78,20,15,7,2018,12,2018,2,,2,,30,20,68,300000,2,0,1,2,,,0,48,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,812,2,2,1,12,10,45,40,7,2018,7,2018,1,2,,,10,45,12,2000000,3,0,1,2,,,0,0,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,741,2,2,1,68,72,20,15,7,2018,12,2018,1,2,,,0,,,,,,,,,,0,72,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,1,741,5,2,1,68,120,20,15,7,2018,12,2018,1,2,,,40,20,68,400000,2,0,1,2,,,0,80,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,2,620,5,2,1,22,16,20,15,4,2018,8,2018,1,2,,,0,,,,,,,,,,1,15,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,3,210,5,2,1,10,1,45,100,12,2018,12,2018,1,2,,,0.3,45,10,30000,2,0,1,2,,,0,0.5,0,0,0.1,0,,4,2,,0.1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,741,1,2,1,69,40,20,16,7,2018,12,2018,1,1,,,20,20,69,100000,2,0,1,1,,,0,20,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,811,1,2,1,1,40,45,1,9,2018,12,2018,1,1,,,40,45,1,172000,2,6000,1,1,,,0,0,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,2,620,1,2,1,37,16,20,20,1,2019,4,2019,1,1,,,0,,,,,,,,,,2,14,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,4,830,1,2,1,1,2800,20,1,6,2018,12,2018,1,1,,,2800,20,1,980000,96,0,1,1,,,0,0,0,0,0,0,,1,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,5,210,1,2,1,1,18,45,1,11,2018,11,2018,1,1,,,0,,,,,,,,,,2,8,0,0,8,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
