"hhid","ALiveStock_Small_ID","s6bq01","s6bq03a","s6bq03b","s6bq03c","s6bq03d","s6bq03e","s6bq03f","s6bq04a","s6bq04b","s6bq04c","s6bq06","s6bq07","s6bq08","s6bq09","s6bq10","s6bq11","s6bq12","s6bq13a","s6bq13b","s6bq14a","s6bq14b","s6bq15","s6bq15b","s6bq15c","s6bq16"
"05cef9765f92473eb465b6dc4fac72a4",21,1,4,2,,1,5,2,0,,,2,2,0,0,0,0,0,0,,0,,0,5,1,2
"05cef9765f92473eb465b6dc4fac72a4",22,1,3,1,3,2,5,2,0,,,1,6,0,0,0,0,0,0,,4,45000,0,5,1,2
"0602eb95ac184ad3aa8fdba309f3f946",19,1,4,1,2,1,2,2,0,,,7,0,0,0,1,0,0,0,,2,100000,0,1,5,1
"06122c47fee6432f8b973b9ea525fe57",18,1,2,1,5,2,5,2,0,,,2,1,0,0,0,0,0,0,,1,75000,0,6,1,1
"06122c47fee6432f8b973b9ea525fe57",19,1,8,1,5,2,5,2,0,,,8,2,0,0,0,0,0,0,,2,68000,0,6,1,1
"061989138f624a46be5860a6f7e8934b",18,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,110000,0,1,,2
"061989138f624a46be5860a6f7e8934b",22,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"061989138f624a46be5860a6f7e8934b",19,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"06403dbe6bbd4f1e82d16fa705c51b73",18,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"06403dbe6bbd4f1e82d16fa705c51b73",19,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,6,1
"067f809da4ef44c8ab7ff3a16ee31672",18,1,12,1,,2,5,2,0,,,10,4,0,0,0,0,0,0,,1,65000,1,5,6,1
"067f809da4ef44c8ab7ff3a16ee31672",19,1,14,1,5,1,5,2,0,,,4,10,0,0,0,0,0,0,,0,,0,1,5,1
"068c76ff148d44fcbb4ab89429adcb6c",22,1,8,2,,2,,2,0,,,4,4,0,0,0,0,0,0,,0,,0,1,,2
"06a5f788e6b248dfa229a7cd68fcf706",19,1,1,1,,1,2,2,0,,,2,0,0,0,0,0,0,0,,1,60000,0,1,,2
"06b36c2c9668465ead2665345a45355a",19,1,2,1,3,1,3,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,1
"06ca2b010f7a4724a51adc2505df2e10",22,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"072bede7173b42a9b15f6d873387591a",19,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,6,4,1
"072bede7173b42a9b15f6d873387591a",21,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,6,4,1
"07446a0d279c4168ae5f4a5aab842b4d",18,1,0,,,,,,0,,,0,1,0,0,0,0,0,0,,1,60000,0,1,,1
"07446a0d279c4168ae5f4a5aab842b4d",19,1,3,1,2,1,2,2,0,,,4,0,0,0,0,0,0,0,,1,60000,0,1,,1
"078096ed82bd4b369317a5c4329d7dd8",19,1,6,1,2,1,,2,0,,,27,4,0,0,25,0,0,0,,0,,0,1,5,2
"079e6812fb50405bbe8cb744b5ef6afd",18,1,2,2,,2,,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"079e6812fb50405bbe8cb744b5ef6afd",19,1,2,2,,2,,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"07b5c28dd52642b69def9db9df074dc0",22,1,15,4,,4,5,2,0,,,6,9,0,0,0,0,0,0,,0,,0,1,,2
"07b5c28dd52642b69def9db9df074dc0",18,1,5,2,,4,5,2,0,,,2,3,0,0,0,0,0,0,,0,,0,4,1,1
"07b5c28dd52642b69def9db9df074dc0",19,1,4,2,,4,5,2,0,,,3,1,0,0,0,0,0,0,,0,,0,4,1,1
"07b6c4f12d054292b7b786ef2dd45835",19,1,1,1,5,1,5,2,0,,,0,0,0,0,0,0,0,1,40000,0,,0,1,5,1
"07b6c4f12d054292b7b786ef2dd45835",18,1,1,1,5,1,5,2,0,,,0,0,0,0,0,0,0,1,30000,0,,0,1,5,1
"0809936839be4f8b99293dee0663fc53",19,1,1,1,,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,5,6,1
"082757b50eee4bc29551c3c3c30639da",15,1,3,1,2,4,5,2,0,,,5,0,0,0,0,0,0,0,,0,,2,1,6,2
"082757b50eee4bc29551c3c3c30639da",14,1,18,1,2,4,5,2,0,,,18,0,0,0,0,0,0,0,,0,,0,1,6,2
"082757b50eee4bc29551c3c3c30639da",16,1,10,1,2,4,5,2,0,,,10,0,0,0,0,0,0,0,,0,,0,1,6,2
"082757b50eee4bc29551c3c3c30639da",13,1,2,1,2,4,5,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,6,2
"0860ea9bebf44de1ac82a1e0e866a570",19,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"0860ea9bebf44de1ac82a1e0e866a570",18,1,1,1,,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"088d7d7eb37b4683b391bf34b48482d2",22,1,2,2,,2,,2,0,,,3,0,0,0,0,0,0,0,,1,200000,0,1,5,2
"089f1c1e30d94938ad4a28294030f670",20,1,15,1,,10,11,2,0,,,7,8,0,0,0,0,0,0,,0,,0,1,3,2
"089f1c1e30d94938ad4a28294030f670",19,1,30,1,,10,11,2,0,,,22,8,0,0,0,0,0,0,,0,,0,1,3,1
"08a622bfb26f4199bde601e058ccf58d",19,1,1,1,,1,,1,0,,,0,0,1,0,0,0,0,0,,0,,0,1,6,1
"08fecb64841f493c87c3c24f97d3b1f0",19,1,2,2,,2,,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,1
"090f972306904a6d8a21853b2415b8e6",19,1,4,1,,2,4,2,0,,,2,2,0,0,0,0,0,0,,0,,0,6,,1
"091517b1a65147a7a3aa3b6c93500495",18,1,3,1,2,1,3,2,0,,,0,3,0,0,0,0,0,0,,0,,0,1,,1
"091517b1a65147a7a3aa3b6c93500495",20,1,1,1,2,1,3,2,0,,,0,1,0,0,0,0,0,0,,0,,0,1,,1
"091517b1a65147a7a3aa3b6c93500495",21,1,1,1,2,1,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,1
"091517b1a65147a7a3aa3b6c93500495",19,1,2,1,2,1,3,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,1
"093cbecd77b441179f3704a9d5bb4367",22,1,0,,,,,,0,,,4,0,0,0,0,0,0,0,,4,100000,0,1,,2
"09864be193f04de1a1c62f8e2e3fb3f5",18,1,2,1,,1,,2,0,,,2,0,0,0,0,0,0,0,,0,,0,5,,1
"09864be193f04de1a1c62f8e2e3fb3f5",19,1,3,1,,1,,2,0,,,3,0,0,0,0,0,0,0,,0,,0,5,,1
"09c9f51b98214abca30f1cc1accd7cb9",19,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,6,4,1
"09c9f51b98214abca30f1cc1accd7cb9",21,1,4,1,2,1,2,2,0,,,2,2,0,0,0,0,0,0,,0,,0,6,4,1
"09c9f51b98214abca30f1cc1accd7cb9",18,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,4,1
"09c9f51b98214abca30f1cc1accd7cb9",20,1,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,6,4,1
"09f959c903de48f1a7656b5f988d01fe",22,1,7,1,2,1,2,2,0,,,6,9,0,0,0,0,0,0,,8,181250,0,1,,2
"09f959c903de48f1a7656b5f988d01fe",19,1,5,1,2,1,2,1,0,,,0,0,5,0,0,0,0,0,,0,,0,1,,2
"0aaa3c3864af4ed5976f59eea475f982",19,1,4,1,2,1,2,2,0,,,4,0,0,0,0,0,0,0,,0,,0,1,6,1
"0aaa3c3864af4ed5976f59eea475f982",18,1,2,1,2,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,5,1
"0ab0754b5398494b863f05891f237892",18,1,9,1,2,1,2,2,0,,,3,6,0,0,0,0,0,0,,0,,0,1,,2
"0ab0754b5398494b863f05891f237892",19,1,11,1,2,1,2,2,0,,,9,2,0,0,0,0,0,0,,0,,0,1,,2
"0b3b982602d04173ad3b1e70959cbfd3",21,1,2,,,,,2,0,,,5,1,0,0,0,2,0,0,,2,90000,0,1,6,2
"0b3b982602d04173ad3b1e70959cbfd3",20,1,0,,,,,,0,,,1,0,0,0,0,0,0,0,,1,120000,0,1,6,2
"0b3b982602d04173ad3b1e70959cbfd3",19,1,3,,,,,2,0,,,2,2,0,0,0,1,0,0,,0,,0,1,6,1
"0b5d1c5449044517bcce04bac511725e",19,1,8,1,5,1,5,1,0,,,5,3,0,0,0,0,0,0,,0,,0,1,,2
"0b5d1c5449044517bcce04bac511725e",18,1,2,1,5,1,5,1,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"0b95a1e8ac1f432da2425f0e135e45c0",14,1,16,2,,2,,2,0,,,10,6,0,0,0,0,0,0,,0,,0,1,,2
"0b95a1e8ac1f432da2425f0e135e45c0",13,1,4,2,,2,,2,0,,,2,2,0,0,0,0,0,0,,0,,0,1,,2
"0c4001e96413427da9ec508f97d215bc",19,1,4,1,4,1,4,1,0,,,3,1,0,0,0,0,0,0,,0,,0,1,,1
"0c4a4cf0e7ea4067b33aaa955c36715f",19,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,6,4,1
"0cac75ed84684d18b700549a520c0f1f",21,1,3,1,3,1,3,2,0,,,4,0,0,0,0,0,0,0,,1,65000,0,6,4,1
"0cac75ed84684d18b700549a520c0f1f",18,1,2,1,3,1,3,2,0,,,2,0,0,0,0,0,0,0,,0,,0,4,6,1
"0cac75ed84684d18b700549a520c0f1f",19,1,3,1,3,1,3,2,0,,,2,1,0,0,0,0,0,0,,0,,0,6,4,1
"0cd035c06c3647fab7f198d760f73e98",18,1,1,1,,1,,2,0,,,5,0,0,0,0,0,0,0,,0,,4,6,1,1
"0cd035c06c3647fab7f198d760f73e98",19,1,2,1,2,1,,2,0,,,5,0,0,0,0,0,0,0,,0,,3,6,1,1
"0cf5ba3c4a7e4b379ed786599920157c",19,1,1,2,,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,2,3,1
"0cf5ba3c4a7e4b379ed786599920157c",22,1,5,2,,1,2,1,0,,,2,3,0,0,0,0,0,0,,0,,0,1,3,1
"0cf5ba3c4a7e4b379ed786599920157c",18,1,2,2,,1,2,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,3,1
"0cfefdeb042a4b39af8af9a6a53cadba",18,1,1,1,,1,7,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"0cfefdeb042a4b39af8af9a6a53cadba",22,1,1,1,7,1,,2,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,,1
"0cfefdeb042a4b39af8af9a6a53cadba",19,1,2,1,,1,7,2,0,,,1,1,0,0,0,0,0,0,,0,,0,1,,2
"0d1155056d5a49f592537fdeea3284d3",20,1,3,1,2,1,,1,0,,,1,2,0,0,0,0,0,0,,0,,0,1,,1
"0d1155056d5a49f592537fdeea3284d3",21,1,3,1,2,1,,2,0,,,3,2,0,0,0,0,0,0,,2,60000,0,1,,1
"0d1423b6187b4666aab92778cd5e4050",18,1,2,1,2,1,2,2,0,,,0,2,0,0,0,0,0,0,,0,,0,1,3,1
"0d1423b6187b4666aab92778cd5e4050",19,1,0,,,,,,0,,,3,0,0,0,3,0,0,0,,0,,0,1,,1
"0d7289cae2764986bbda9ba03d3c2b5f",22,,10,1,7,1,7,2,0,,,12,0,0,0,0,0,2,0,,0,,0,1,,2
"0d7289cae2764986bbda9ba03d3c2b5f",19,,1,1,7,1,7,2,0,,,0,0,1,0,0,0,0,0,,0,,0,1,,2
"0d9810cde32d470bbcea579035125672",19,1,4,1,,1,2,1,0,,,3,1,0,0,0,0,0,0,,0,,0,1,5,1
"0dac56419262429c8f0ca39b7a7c55fc",18,1,3,1,2,2,,2,0,,,2,1,0,0,0,0,0,0,,0,,0,1,5,2
"0dac56419262429c8f0ca39b7a7c55fc",19,1,4,1,2,2,,2,0,,,4,0,0,0,0,0,0,0,,0,,0,1,5,2
"0dcf445c997649629cfe96bdbe03d028",19,1,2,1,,2,5,2,0,,,5,0,0,3,0,0,0,0,,0,,0,1,6,2
"0df40545b17a4ed5942118afbcd884a6",19,1,3,1,,1,,2,0,,,0,0,0,0,0,0,0,3,47000,0,,0,1,,2
"0df87c6cba494e029a4a6e846462b4e8",19,,2,1,2,1,2,2,0,,,2,0,0,0,0,0,0,0,,0,,0,1,,2
"0e0d592eae8546e29fa5672ad599d418",19,1,3,1,6,1,6,2,0,,,4,2,0,0,1,2,0,0,,0,,0,1,,2
"0e102ce9336c4724a1e17db925d74f0d",19,1,3,2,,2,4,2,0,,,2,1,0,0,0,0,0,0,,0,,0,1,5,2
"0e849b1e76e7470b972a4130b79ee9aa",22,1,1,1,,1,,2,0,,,0,0,0,0,0,0,0,1,30000,0,,0,1,,2
"0f120ff4c01e4c2bacbc7c513fbb1d9f",19,1,1,2,,2,3,2,0,,,0,0,0,0,0,0,0,1,50000,0,,0,1,5,2
"0f50e94a1c4846ed9fbbb1db8394476f",22,1,4,1,,1,3,2,1,1,3,2,0,2,0,0,0,0,0,,0,,0,1,,2
"0f8f2b0cc7a84d8d8e21442c1828a004",20,1,1,1,,2,3,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"0f8f2b0cc7a84d8d8e21442c1828a004",18,1,6,1,,2,3,2,0,,,5,1,0,0,0,0,0,0,,0,,0,6,5,1
"0f8f2b0cc7a84d8d8e21442c1828a004",21,1,1,1,2,1,2,2,0,,,1,0,0,0,0,0,0,0,,0,,0,6,,1
"0f8f2b0cc7a84d8d8e21442c1828a004",19,1,9,1,,2,,2,0,,,6,3,0,0,0,0,0,0,,0,,0,6,,1
"0f96f2f08b13450f8f8534815f565d6a",22,1,1,1,2,1,2,2,0,,,0,0,0,0,0,0,0,1,48000,0,,0,1,,1
"0fce92d4977d4f40bbfd03850e836f41",19,1,2,1,2,1,3,2,0,,,0,0,0,0,0,0,0,2,40000,0,,0,5,6,1
"1007d8148aa340fb9a57a7acc47815d9",22,1,1,1,,1,2,2,0,,,0,0,0,0,0,0,0,1,40000,0,,0,1,5,1
"1007d8148aa340fb9a57a7acc47815d9",19,1,2,1,2,1,2,2,0,,,3,0,0,0,0,0,0,0,,1,120000,0,1,5,2
"100efbd880dd42ae8de85a4f51c76e1d",22,1,1,2,,2,,2,0,,,3,0,0,0,0,2,0,0,,0,,0,1,,2
"100efbd880dd42ae8de85a4f51c76e1d",19,1,1,2,,2,,2,0,,,2,0,0,0,0,1,0,0,,0,,0,1,,2
"106e62b69ccd4b5eb8be8453f362c3e4",18,1,1,1,2,1,2,2,0,,,0,0,0,0,0,0,0,1,45000,0,,0,1,3,1
"106e62b69ccd4b5eb8be8453f362c3e4",19,1,2,1,2,1,2,2,1,1,2,0,0,0,0,0,0,0,2,70000,0,,0,1,3,1
"1077485d26ad4ccf8204fd689b25af85",18,1,2,1,,1,5,2,0,,,1,2,0,0,0,0,1,0,,0,,0,6,,1
"1077485d26ad4ccf8204fd689b25af85",19,1,3,1,,1,5,2,0,,,9,0,0,0,0,0,6,0,,0,,0,6,,1
"10b41d09cfce4c09a5893c1ece7baf60",19,1,1,7,,3,7,2,0,,,1,0,0,0,0,0,0,0,,0,,0,4,1,1
"10b41d09cfce4c09a5893c1ece7baf60",18,1,1,7,,5,7,2,0,,,0,1,0,0,0,0,0,0,,0,,0,4,,1
"10b41d09cfce4c09a5893c1ece7baf60",22,1,3,7,,7,,2,0,,,1,3,0,0,0,0,1,0,,0,,0,1,5,1
"10bc6b069d1043d7842d42e00e77e3b3",19,1,3,2,,2,,2,0,,,3,2,0,0,0,0,0,0,,2,110000,0,1,,2
"10bc6b069d1043d7842d42e00e77e3b3",18,1,2,2,,2,4,2,0,,,2,2,0,0,0,0,0,0,,2,70000,0,1,,2
"10de89a4467f4695b9cbc4ff047645ad",22,1,4,6,,6,,1,0,,,4,0,0,0,0,0,0,0,,0,,0,1,5,1
"1112c2eca9fc455a9a63e4fa51e352ab",18,1,1,,,,,2,0,,,3,1,0,0,0,0,0,0,,3,90000,0,1,5,2
"1112c2eca9fc455a9a63e4fa51e352ab",19,1,0,,,,,,0,,,4,0,0,0,0,0,0,0,,4,0,0,1,5,2
"11374e7021354243a76d552aa08240f1",20,1,1,5,,5,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"11374e7021354243a76d552aa08240f1",19,1,4,5,,5,,2,0,,,4,0,0,0,0,0,0,0,,0,,0,3,1,2
"11374e7021354243a76d552aa08240f1",21,1,4,5,,5,,2,0,,,4,0,0,0,0,0,0,0,,0,,0,1,,2
"11374e7021354243a76d552aa08240f1",18,1,1,5,,5,,2,0,,,1,0,0,0,0,0,0,0,,0,,0,1,,2
"114b358f60a641a59cb3be10f748e144",19,1,3,1,2,1,2,2,0,,,2,1,0,0,0,0,0,0,,0,,0,1,,2
"115133c671c54c2b8da92613a289c8b8",19,1,5,1,,4,5,2,0,,,4,3,0,0,0,0,2,0,,0,,0,5,6,1
"115133c671c54c2b8da92613a289c8b8",18,1,2,1,,1,4,2,0,,,2,0,0,0,0,0,0,0,,0,,0,6,,1
