"hhid","source_ID","h9q04a","h9q04b","h9q05ag__1","h9q05ag__2","h9q05ag__3","h9q05ag__4","h9q05ag__5","h9q05ag__6","h9q05ag__7","h9q05ag__8","h9q05ag__9","h9q06a","h9q06b","h9q07a","h9q08a","h9q09","h9q10a"
"2342cd7d1e3d4166aab8918e8555d0d0",6,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"2628668b68a743a887d2ac87bc06bd7f",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"2799950e3b464fd1b3458b74361da9b9",5,1,,1,2,2,2,2,2,1,1,2,2,0,0,2,,1
"28cfecdc40fb49b1b9bb757b7bb7626e",3,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"28e84a3ac5994a6e841ea52a5edde060",1,1,2,1,1,2,1,1,2,2,2,2,6,6,6,2,,1
"2c6ae01abe4748ba8503aa5510c813d5",1,1,2,1,2,2,2,2,2,2,2,2,0,1,0,2,,1
"2c7a8030ba1443ee83f2412f80843d3b",6,2,,2,2,2,2,1,2,1,2,1,3,0,3,1,30000,1
"2e5c1262075443d0918c0c698680721f",1,11,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"2f505303b957477282e31e4c430c7c6d",7,1,6,1,2,2,2,2,2,2,2,2,0,0,0,,,
"3125d7938c8a4df099a04c983c4ea29b",2,1,,1,1,2,1,2,2,2,2,2,0,0,1,2,,1
"33960cb846dd4bfd891338e0eb1e2945",6,1,2,1,2,2,2,2,2,2,2,2,0,0,2,2,,3
"354a41485b2b464fb33495af6e8cf9aa",7,3,,1,2,1,2,2,2,2,2,2,0,0,1,2,,2
"3631ba7632f147949d4db44588d39442",7,1,,1,2,2,2,2,2,2,2,2,1,1,1,2,,2
"3b6df4237fe04c4baf345c360ea6660d",3,,,1,1,1,1,2,2,2,2,2,0,0,5,2,,1
"3f16925db6ec40a68bc46dbed4690021",5,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"3fb8d4d90721432f9bd4c3e6927b3c7f",5,1,,1,1,2,2,2,2,2,2,2,0,0,1,2,,1
"40e4b238a7644ad18bc0ee3f82bb1294",6,,,1,2,2,2,2,2,2,2,2,1,1,0,2,,1
"419aeb8cf20b477ab14959fed173ed47",1,2,,1,2,2,2,1,2,2,1,1,2,1,4,2,,1
"41a071f11f70493d95c79e97cdfedc25",2,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"41a0d7ea37784a2fa40f381785b4df50",1,1,2,1,2,2,1,2,2,2,2,2,0,0,0,,,
"42b460c56a684d62abac827c6bfcee5f",3,2,,1,2,2,2,2,2,2,2,2,2,2,1,1,79000,1
"43392820ec5e41a382f503a3e366dacb",3,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"43f71a4b91ab4dc5867e722610be922f",2,5,,1,1,2,2,2,2,2,2,2,0,0,2,2,,1
"46f5567f540b4d349aa817c1659dc158",1,1,,1,1,2,1,1,2,2,1,2,0,0,0,,,
"487985446fde4b70ad526bd6a73c9b65",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"489b6a0849fe448b9483256266506ef2",3,1,,1,2,2,2,2,2,2,2,2,0,1,0,2,,1
"4c747abf91d94f19b0ff3f67881f18e6",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"4cdfca9cc91f4424a80d361df06952e7",2,1,,,2,2,2,2,2,2,2,2,0,0,1,2,,1
"4cdfca9cc91f4424a80d361df06952e7",1,1,,1,1,1,2,1,1,2,2,1,0,0,3,2,,1
"4cdfca9cc91f4424a80d361df06952e7",7,1,,2,2,2,1,1,1,1,1,1,0,0,2,2,,1
"4d06bd2529aa4381816fb485f8dac688",7,6,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"4dfc5e6dea2943d39a54ec4f5c22e1e0",6,1,,1,2,1,2,2,2,2,2,2,0,0,0,,,
"4eb28ac9ee9849f69d0f9806d6e8aa6e",6,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,3
"5080bcd282ac4ec889af3bf823de55b6",1,1,,1,2,2,1,2,2,2,2,2,1,2,2,2,,1
"50ce0aeb4a3a4ce4aa88a8d83a3c9d73",5,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"50f1b984182f4ad383b4dcdf8685981a",6,1,,1,2,2,1,2,2,2,2,2,0,2,0,2,,1
"53a0bbca47fb4e3686bcb4d9354da3c5",1,1,,1,2,1,2,2,2,2,2,2,0,0,2,2,,1
"549db14fab984d75bb4096ff0d918c37",1,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"592f510ca124499cb5ffffdb0c4c8396",1,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"5975db78a89b4bd4b9c8f3af0674bb4c",6,2,,2,2,2,2,2,2,1,1,1,0,0,2,2,,1
"5999874f032646b1974c216a99b4e928",1,1,,1,1,2,1,2,2,2,2,2,2,0,0,2,,1
"5b4dba5ebd2245fe8fd1e7efd21a24df",4,1,,2,1,2,1,2,,2,2,2,2,0,12,2,,1
"5bb863ad2a1243cc9218594974735314",1,1,,1,1,2,2,2,2,2,2,2,0,0,0,,,
"5bf770e6767c469994f320841a274e58",4,1,,1,1,1,1,2,2,2,2,2,0,1,11,2,,1
"5bf770e6767c469994f320841a274e58",1,1,,2,1,1,1,1,1,1,1,1,0,0,1,2,,2
"5e377c5d87ff442f912bb9f9e1c6a850",3,1,,2,2,2,2,1,2,1,2,1,0,0,12,2,,1
"62899cb37c684975ab6393832eb4c221",3,1,2,1,1,1,1,2,2,2,2,2,20,10,10,2,,1
"62899cb37c684975ab6393832eb4c221",7,1,2,1,2,2,2,2,2,2,2,1,2,0,0,2,,2
"65deaa19d2694ea4bc751f9ed444c2b6",1,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,3
"66e203a6003746b782041eacecdc08f5",2,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"67ac2b319baf4ac9af655894c41dd2e4",2,2,,1,2,2,2,2,2,2,2,1,0,2,1,2,,1
"68f60d1f894d471496e6a6be9d7baff5",2,1,,1,2,2,2,2,2,2,2,2,2,0,0,2,,1
"6e09cafe878a4686b5af59056e145fd5",1,1,,1,2,2,2,2,2,1,2,2,2,0,0,2,,1
"6eba1b7aa12b4e41b6f67d0065fe3843",1,2,,1,1,2,1,1,2,2,2,2,0,0,1,2,,1
"6f4cbca19664408eaea6f2da41aef981",7,3,,2,2,2,2,2,1,2,2,2,0,2,0,2,,1
"6fbfd1ca154140099d74bcc494b2f434",7,2,,1,2,2,1,2,2,2,2,2,0,0,0,,,
"70b60b0e8e8c437dba5ccfac3fcbd53d",3,1,,1,1,2,1,2,2,2,,1,0,0,1,2,,1
"70b60b0e8e8c437dba5ccfac3fcbd53d",1,1,,1,1,2,1,2,1,2,2,1,0,0,1,2,,1
"72ac252901f046c89580a95395b72a35",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"7386def11c4047cdba7a05b145d25d68",1,2,,1,2,2,2,2,2,1,1,1,0,0,2,2,,2
"744552814b1949e291950a94e3143dee",4,1,,1,1,2,1,2,2,1,2,1,1,0,0,2,,1
"78549ab05cff432b83057924e11b8cd1",3,1,,1,2,2,2,2,2,2,2,1,1,0,0,2,,1
"79f08930529841c6bbc33a20cdd1cf3f",1,1,,1,1,2,1,2,2,2,2,2,0,2,0,2,,1
"7a4deb50ba984babad943340fe7fe253",3,1,,1,2,2,2,2,2,1,2,2,0,1,0,2,,1
"7a4deb50ba984babad943340fe7fe253",7,1,,1,2,2,2,2,2,2,2,2,0,3,0,2,,1
"7abe5d30e6a8498d8aa3cc57d71486d4",7,1,,1,1,1,2,2,2,1,1,1,0,0,0,,,
"7abe5d30e6a8498d8aa3cc57d71486d4",1,1,,1,1,2,2,2,2,1,2,1,0,0,0,,,
"7ad6d7c40e5e4b998a69c9d78be22987",4,1,,1,1,1,1,1,2,1,2,1,0,2,4,2,,1
"7ad6d7c40e5e4b998a69c9d78be22987",2,1,,1,2,2,2,2,2,2,2,2,0,0,3,2,,1
"7c12e0ea1d4e4715b33ca829365fc859",3,1,,2,2,2,2,2,2,1,2,2,0,0,2,2,,1
"7f18080980ae4069a9c1dd53aa99d928",1,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"8061af8f56ab42b18859520dd44e8172",7,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"80cc66c321854e2fa6b04d2601c1d9b0",7,1,,2,2,2,2,2,,2,2,2,0,0,1,2,,3
"80d08b55339d4d22ae79cc5024d01366",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"83f12b630c0f476397672201b158fe17",6,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"84d4073a191540b8a7f3a9a445d6a6ba",1,1,,1,2,1,2,1,2,2,2,1,1,0,0,2,,1
"878feadf5d0f41e194da96936cf9b8ca",7,2,,1,2,2,2,2,2,2,2,2,2,2,0,2,,1
"87f08542877948b390ded628dfe27321",3,1,2,1,2,2,2,2,2,2,2,2,0,0,0,,,
"88a4d46854ed416fbd2c526b54a7b34a",3,1,,1,1,1,1,1,1,1,1,1,3,3,1,2,,1
"88a4d46854ed416fbd2c526b54a7b34a",1,1,,1,1,1,1,1,1,1,1,1,0,0,3,2,,1
"88ca05130f6b429db4f3807b50dadee1",1,2,,1,2,2,2,2,2,2,1,1,0,0,3,2,,1
"89342a57ba6a47b189dae265acb342f5",1,1,,1,2,2,,,,,,,0,0,0,,,
"8b79adbce0d2462d95424a84a94e165a",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"8ba30b564d1a40bc867dad9460534b26",1,3,,1,1,2,1,1,2,2,2,2,2,0,5,2,,1
"8d049482670844f9ae4b7cbab030151d",7,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"8f78f136f4ee4a3d8ff64a418fd86357",3,2,,1,2,1,2,2,2,2,2,2,0,0,0,,,
"8f8c64fa798c4e5e8490b8cca7bbd057",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"8fe19cf1a1b9486d91295f6439d1f778",5,1,,2,2,2,2,2,2,1,2,2,0,0,0,,,
"91fd38789bc34bc2af4ee06597ace130",1,,,1,1,2,1,2,2,1,1,1,7,3,3,2,,1
"92b1721f936443779c944709e967606d",1,1,,1,2,2,2,2,2,2,2,2,0,1,0,2,,1
"932e33f2faba4e9aae7ce8070d59934a",3,1,2,1,2,2,2,2,2,2,2,2,1,0,0,2,,1
"945540415d914164bf9aac642e474d26",1,1,,1,1,2,2,2,2,1,1,2,2,2,28,1,5000,1
"95177689d72c427d97dc7931ab8ace5c",5,2,,1,1,1,1,1,2,2,1,1,3,0,2,2,,1
"95c41cb2a4b54404b51c9a798ebde4f0",1,2,,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"9c92c41e2886404084d6eaae15bfa141",7,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"9cd59c0742ed47cdabdf3e3b1f8d226a",1,2,,1,2,2,2,2,2,2,2,2,0,2,2,2,,1
"a03671a2c2ff401f94830d5548a804f9",1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,2,,1
"a068544ea2794bdca721e080a992c8f2",2,2,,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"a20eb7aa426f4d66a5c2c8e0dd06e5b0",1,2,,1,1,2,1,2,2,2,2,2,1,0,0,2,,1
"a2537eed6b3a45bda7cef1e83993d7cf",4,1,,1,2,2,2,2,2,2,2,1,2,0,2,2,,1
"a253a93dccd642c9a9ced4b737a30f07",5,4,,1,2,2,2,2,2,2,2,2,1,0,0,2,,1
"a5c1728bb041435f8123e46e908a4e57",6,1,6,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"a7f5ea241ac341649741d4867759c386",7,1,,2,2,2,2,2,2,2,2,2,0,0,1,2,,3
"a8b1fb8599ea4624997929d194df9851",1,1,,1,2,2,2,2,2,2,2,1,0,0,0,,,
"a8f288b8aa41463486f98c62334e6498",4,1,,1,1,2,2,2,2,2,2,2,1,0,0,2,,1
"a983278448b344489b12dc0725752a0f",1,1,2,1,2,2,1,2,2,2,2,2,0,0,2,2,,2
"aaf20234393e4b348471518086ecc9ae",1,1,,1,2,2,2,2,2,,1,1,0,0,0,,,
"abf364c5626d4e649ac20f4e8cef6935",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"adc8d19d7b854ad2b55080dcea3f17dc",1,5,,1,2,2,1,1,2,2,1,2,0,0,2,2,,1
"adc8d19d7b854ad2b55080dcea3f17dc",4,5,,2,2,1,1,2,2,2,2,2,1,1,3,2,,1
"afb120116c7549488abd82b39afbef69",3,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"afb6161ef4fc480bb45b596e512c6c2f",4,1,7,1,1,2,1,2,2,2,2,2,1,1,1,2,,1
"afecf3d47a4444d2aedac11fc292f425",3,1,,1,2,2,2,2,2,2,2,1,0,0,1,2,,2
"b09aa1bab5924412ac37e4f869ad3ab0",1,1,,1,2,2,2,2,2,2,1,2,0,6,4,2,,2
"b11aea0ef7944c78b80144c645a21aad",2,1,2,2,2,2,2,2,2,2,1,1,2,0,3,2,,1
"b25fa7e0585447939c37bedcb2b795de",1,2,,2,2,2,2,1,2,2,2,1,0,0,1,2,,1
"b3767470d6d74c919b0527a9b6956c38",6,2,,1,2,2,2,2,2,2,2,2,0,1,1,2,,1
"b443e69b745a4e639d5c5fbc2ca2747d",5,1,9,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"b484669dfd794540972081baeae06e64",6,1,,1,1,2,1,2,2,2,2,2,2,0,0,2,,1
"b5026e18272641b58b4915a3fe13b5ae",4,2,,1,1,2,2,2,2,2,2,2,1,0,0,2,,1
"b597401743994f5690b81ea2633fcc31",1,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"b5b05a8426f04ac29ba2aa3089320756",4,1,,1,2,2,1,2,2,2,2,1,0,1,0,2,,1
"b5cb37f16e3347448b3e7ff46baec769",7,1,,1,2,2,2,2,2,2,2,1,0,0,0,,,
"b68513ab0b61417a9c63f856a46f4428",7,1,,2,2,2,2,2,2,1,2,1,0,1,0,2,,1
"b95c3f256b444b43b39196be9d7b4dcc",7,1,,1,2,2,2,2,2,2,,2,0,0,2,2,,2
"b98f427fb06841d4859bf39fa28d4ff1",1,3,,2,2,2,2,2,2,2,2,1,0,0,1,2,,1
"ba9e0d497a294929b1f91c16efc88dd7",1,2,,1,2,2,2,2,2,1,1,1,0,0,1,2,,1
"babce4c54f7948a79ce986d72bae32d8",6,1,,1,2,2,2,2,2,2,2,2,0,1,1,2,,2
"bc5a536d7ff04b1e86fb4c85a5ae6a6b",4,1,,1,1,1,1,2,2,2,2,2,1,1,0,2,,1
"c08d7f3d06be445f9599a2704a72a3d3",7,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"c19b80977d444d4baea4229850d6883e",1,2,,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"c3eb26f27f1f4d5586980720c0a7f4f5",7,1,,2,2,2,2,2,2,2,2,1,1,0,0,2,,1
"c631319a6e504d1a9d2ef03f438a8395",1,1,,1,1,2,2,2,2,2,2,1,1,0,0,2,,1
"c6f7d03ed47b41b7a01deef790d717c7",1,1,,1,2,2,1,1,2,2,2,2,0,0,1,2,,1
"c733fc061f9b4380b26345c6b2aa88cd",7,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"c8d27e13b1764c378183c91d44e54ffb",3,2,,1,1,2,1,2,2,1,1,1,2,0,0,2,,1
"c8d27e13b1764c378183c91d44e54ffb",1,4,,1,1,2,2,2,2,1,2,1,3,0,0,2,,1
"c91a597b687f4a5eaeae505dc3188892",3,1,,1,2,2,2,2,2,2,2,2,0,1,0,2,,1
"c9cbf5958c86432ea08d0c70d821108e",6,1,,2,2,2,2,1,2,1,2,1,1,1,0,2,,2
"cabf8bea274749cb8abdcf5d43679f69",4,1,2,1,1,2,1,1,2,1,1,1,1,1,0,2,,1
"cabf8bea274749cb8abdcf5d43679f69",3,1,,1,1,2,1,2,2,2,,1,1,0,1,2,,1
"cb7501fa2a384213805aae2a9b815d49",1,1,,1,1,2,2,2,2,2,2,1,1,0,1,2,,1
"cb988146f4464defae9ec18a644f7135",1,1,2,1,2,2,2,2,2,2,2,2,0,0,0,,,
"cc1c2e4ec26047779497af8ba86337da",6,1,,1,2,2,,1,,1,,1,0,5,4,2,,1
"cc7b17511ccd4271878ba3991c46cf7d",6,1,,1,1,1,1,2,2,2,2,2,3,0,0,2,,1
"cd7d1e66e898489eb998eea7bf94ec5a",1,1,,1,2,2,1,1,2,2,2,2,1,1,3,2,,1
"cebcb5301de14fd091f8b281816dcad2",7,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"ceca664d153e40fe9d7cc77aa9c9f085",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"d09d53ce3b15410a90e09d60ce5b5231",3,2,,1,2,2,2,2,2,2,2,2,1,0,0,2,,2
"d0f8bfb36d7d416ca67c524754d7fa37",2,1,,1,1,2,1,2,2,2,2,2,1,0,0,2,,1
"d203e903f2764530a80a945a32915a99",1,1,,1,2,1,2,2,2,2,2,2,0,0,3,2,,1
"d208c5d95f754d22a8db4423f348c4a1",7,2,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"d2c0aad97ef745bdb24668c04a3e98d5",7,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"d2e69dc8645343b0a0998cafd392ab1a",7,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"d32b478937e446ae93d056b7c07c890b",1,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"d77e53921f974b3981f631b813415ba1",1,1,,1,2,2,2,1,1,2,2,2,1,0,1,2,,1
"d86d2a43c16b4abeb24f0ad7ef658b8f",1,2,,1,1,1,1,2,2,2,2,2,0,0,2,1,5000,1
"d8dbdd6a08d240e59a1dd515b8e93dea",6,3,,1,1,1,1,2,2,2,2,2,0,1,0,2,,1
"dc9550e96e4446779a38f05906ea5e11",3,1,,1,1,2,2,2,2,2,2,2,1,0,0,2,,1
"dcab0e4bf2784240bdff1d0e5b222a99",7,1,,2,2,2,2,1,2,1,2,2,3,3,1,2,,1
"dcab0e4bf2784240bdff1d0e5b222a99",3,1,,1,1,2,1,1,1,1,2,2,0,5,0,2,,1
"dd53075b6ab148ebb04036c88635d714",7,1,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"ddf4f5dafea54f6f8ea064ff80382255",3,1,,1,2,2,2,2,2,2,2,2,2,2,1,2,,1
"de33100b792a468b82861672d9340ef3",6,3,,1,,2,2,2,2,2,2,2,0,0,0,,,
"de338ded45464f8a966b16b718ccc1a6",6,1,,1,2,2,2,2,2,2,2,2,0,0,1,2,,2
"de5ae2c27aba4940a130e76e7cf0b8e0",6,1,,1,2,2,2,2,2,2,2,2,0,0,3,2,,1
"e1574e4773b548a090ee537919713b0c",3,1,,1,1,2,2,2,2,2,2,2,3,1,1,2,,1
"e2ebc60d668649ce8d7226aac83b180e",1,1,,1,2,1,1,1,1,2,1,1,3,0,0,2,,1
"e35b0fbe3fb64f5b97cc925839a08974",3,4,,1,1,2,2,2,2,2,2,1,1,1,0,2,,1
"e423b8514f984fb19a048369b9982434",3,2,,1,2,2,2,2,2,2,2,2,0,0,0,,,
"e81dd4fafebd4642b9f785a854f97eda",6,1,,2,2,2,2,2,1,2,2,2,0,0,0,,,
"eb1f1dc0ec804c4d9793864ad696ca2e",5,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"ed78dc302bec4f5cb422d7ea0389b6d6",3,2,,2,2,2,2,2,2,2,2,2,4,0,2,2,,1
"edc2e1593f6a4124833981d7ffad0744",1,1,,1,1,2,1,2,2,2,2,1,3,0,0,2,,1
"edc2e1593f6a4124833981d7ffad0744",4,1,,1,1,2,1,1,2,1,1,1,1,0,0,2,,1
"eebd9c02e4734a699bdedce972b62997",6,1,,1,1,2,2,2,2,2,2,1,0,0,0,,,
"f0293cd185b34a4a946ab1b2fcda62b8",4,1,2,1,2,2,1,2,2,2,2,2,0,0,3,2,,1
"f0af4f68b5094cda94c066c337e4e3f7",3,2,,1,1,1,2,2,2,2,2,2,0,1,0,2,,1
"f10aaca018df42218e821c48e4dee33f",1,2,,1,1,1,1,2,2,2,1,1,1,0,1,2,,1
"f393d386e8ff4962997d9e2f461c102f",6,1,,1,2,2,2,2,2,2,2,1,0,0,1,2,,1
"f4db6d39fd7d46d39b2a55a9e31443b1",1,1,,1,1,1,1,2,2,2,2,2,1,0,0,2,,2
"f657fad494df41ec9bf5be4ace9c692c",1,1,,1,2,2,2,2,2,2,2,2,1,0,0,2,,2
"f71eb7fb0fec4e54ae5e51ca8bc0e340",1,,,1,2,2,2,2,2,2,1,1,1,0,0,2,,1
"f727232a3db048af8c4171b6b4120567",2,1,,1,2,1,2,1,2,1,1,1,0,0,3,2,,1
"f727232a3db048af8c4171b6b4120567",7,2,,1,2,1,1,2,1,2,2,1,0,0,2,2,,1
"f727232a3db048af8c4171b6b4120567",3,2,,1,1,1,2,1,2,1,1,1,0,0,2,2,,1
"f727232a3db048af8c4171b6b4120567",5,2,,1,2,1,1,2,1,2,2,1,0,0,2,2,,1
"f888744b268c4e539e81f9aa42c10186",7,2,,1,1,1,2,2,2,2,2,2,0,0,1,2,,1
"f91eb672ddd9405897d19a1cbcd4adc1",1,1,2,1,1,2,1,2,2,2,2,2,0,0,0,,,
"fae67a00df6c4af8b2bf0379ab1c2788",1,1,,1,2,2,1,2,2,2,2,1,1,0,0,2,,1
"fae67a00df6c4af8b2bf0379ab1c2788",3,1,,1,1,2,1,1,2,1,2,2,1,0,0,2,,1
"fd69999d27a049a091f7b24613499491",1,1,2,1,2,2,2,2,2,2,2,2,0,0,1,2,,1
"ff8b330984bc466aaf2366c3eea3d8cc",1,1,,1,,1,1,1,2,1,1,1,2,0,0,2,,1
"ff8b330984bc466aaf2366c3eea3d8cc",6,1,,1,1,1,1,1,2,2,2,1,4,0,0,2,,2
"ffb33b3ededa4019a02be24224ab0440",1,1,2,1,1,2,1,1,2,2,1,1,2,2,1,2,,1
