"hhid","parcelID","pltid","cropID","s5bq05_1","s5bq05_2","harvest_b","s5bq06b_1","s5bq06a_1","s5bq06c_1","s5bq06d_1","s5bq06e_1","s5bq06e_1_1","s5bq06f_1","s5bq06f_1_1","s5bq06a_1_1","s5bq06a_2_1","s5bq06a3_1","s5bq06a4_1","s5bq07a_1","s5bq07b_1","s5bq07c_1","s5bq08_1","s5bq09_1","s5bq10_1","s5bq11e_1","s5bq11f_1","s5bq11g_1","s5bq11h_1","s5bq12_1","s5bq13_1","s5bq14a_1","s5bq14b_1","s5bq15_1","s5bq16_1","s5bq17_1","s5bq18_1","s5bq19_1","s5bq20_1","s5bq21_1","s5bq22_1","s5bq23a_1","s5bq23b_1","s5bq06b_2","s5bq06a_2","s5bq06c_2","s5bq06d_2","s5bq06e_2","s5bq06e_1_2","s5bq06f_2","s5bq06f_1_2","s5bq06a_1_2","s5bq06a_2_2","s5bq06a3_2","s5bq06a4_2","s5bq07a_2","s5bq07b_2","s5bq07c_2","s5bq08_2","s5bq09_2","s5bq10_2","s5bq11e_2","s5bq11f_2","s5bq11g_2","s5bq11h_2","s5bq12_2","s5bq13_2","s5bq14a_2","s5bq14b_2","s5bq15_2","s5bq16_2","s5bq17_2","s5bq18_2","s5bq19_2","s5bq20_2","s5bq21_2","s5bq23a_2","s5bq23b_2"
"00246782f8654441a9df0f6ec0b6fc9f",3,1,630,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,741,3,2,1,69,17,20,7,1,2019,6,2019,1,3,3,,0,,,,,,,,,,0,17,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,130,3,2,1,20,2,13,20,7,2019,7,2019,1,4,4,,0,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,210,3,2,1,92,12,24,1,5,2019,6,2019,1,3,3,,0,,,,,,,,,,0,12,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0060071f3f414406af7312d68eae8513",1,1,630,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",2,1,150,5,2,1,9,3.2,45,120,10,2019,10,2019,2,,1,5,0,,,,,,,,,,0,0.25,0,0,0,0,,1,2,,3,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",3,1,330,5,2,1,10,1,44,100,11,2019,11,2019,2,,1,5,0,,,,,,,,,,0,0,0,0,0,0,,1,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",2,1,330,5,2,1,29,4,44,3,10,2019,10,2019,2,,1,5,0,,,,,,,,,,0,4,0,0,0,0,,1,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"008c674975f24ea79f50e30cbd4ee635",3,1,150,5,2,1,9,2.5,45,120,10,2019,11,2019,2,,1,5,0,,,,,,,,,,0,0.25,0,0,0,0,,1,2,,2.25,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,812,1,2,1,10,1,24,70,4,2019,5,2019,1,1,1,,1,24,10,75000,3,,1,1,,,0,0,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,741,1,2,1,68,112,20,15,1,2019,6,2019,1,1,1,,50,20,68,500000,3,,1,1,,,0,62,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"009c1baa0edb44f8af47773ce0b7caaa",1,1,210,1,2,1,22,1,14,13,5,2019,5,2019,1,1,1,,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,1,96,22,1,45,20,6,2019,6,2019,1,1,,,0,,,,,,,,,,0,0.5,0,0,0.5,0,,6,2,,0,2,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,811,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,210,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,741,1,2,1,67,6,20,8,1,2019,6,2019,1,1,1,,3,20,67,45000,5,,1,1,,,1,2,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,630,1,2,1,10,1,20,130,9,2019,11,2019,1,1,1,,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,2,620,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,130,1,2,1,22,1,23,5,7,2019,7,2019,1,1,1,,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,,40,1,33,2,8,2019,8,2019,1,1,,,0,,,,,,,,,,0,1,0,0,0,0,,4,1,3,0,2,
"00b48fb6bcf84dd581bd7b2be5f908a0",1,1,744,1,2,1,69,3,20,2,1,2019,6,2019,1,1,1,,0,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",3,1,210,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00cb487f12014891b3efa5c8679d18ab",2,1,130,2,2,1,9,1,45,120,6,2019,6,2019,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,3,620,2,2,1,9,4,20,120,9,2019,12,2019,2,,1,2,0,,,,,,,,,,0,4,0,0,0,0,,96,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,4,520,2,2,1,1,30,40,1,7,2019,7,2019,2,,1,2,30,40,1,39000,2,,2,,1,2,0,0,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,2,630,2,2,1,9,3,20,120,10,2019,1,2020,2,,1,2,0,,,,,,,,,,0,3,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,1,224,2,2,1,9,1,45,110,8,2019,8,2019,1,2,2,,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00d5da8bbd544c548a71f176496ee4b6",1,1,130,2,2,1,22,1,45,18,8,2019,8,2019,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"00dc3a212a1f40698656b2dc7cc97a85",2,1,130,1,2,1,9,0.5,23,100,6,2019,6,2019,2,,1,2,0,,,,,,,,,,0.25,0.25,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,812,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0142f6f0c8f9435c97ac2563a6f390ec",3,1,210,1,2,1,22,2,14,13,5,2019,5,2019,1,2,2,,0,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,2,,22,4,45,20,6,2019,6,2019,2,,1,2,1,45,22,38000,3,0,2,,1,2,0,2,0,0,1,0,,6,2,,0,2,
"0142f6f0c8f9435c97ac2563a6f390ec",2,1,741,1,2,1,69,36,20,10,1,2019,6,2019,2,,1,2,0,,,,,,,,,,0,36,0,0,0,0,,6,2,,0,,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,1,630,1,2,1,22,4,40,18,6,2019,8,2019,1,1,1,,0,,,,,,,,,,0,4,0,0,0,0,,4,2,,0,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0182fc7b5eb44c44aef16c3a178fb762",2,2,150,1,2,1,22,1,45,15,1,2020,1,2020,1,1,1,,0,,,,,,,,,,0,0,0,0,0,0,,1,2,,1,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"018d29620fa44db282c80b6627413e5c",1,1,130,1,2,1,10,8,35,100,10,2019,10,2019,1,1,1,,3,45,10,300000,3,,1,1,,,0,1.5,0,0,0,0,,1,2,,3.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,741,1,2,1,68,50,20,20,1,2019,6,2019,2,,1,8,20,20,68,140000,2,,2,,1,3,0,30,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,210,1,2,1,1,120,45,1,6,2019,9,2019,2,,1,8,70,45,1,105000,2,,2,,1,2,0,30,0,0,20,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,811,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",1,1,650,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,210,1,2,1,1,140,45,1,5,2019,8,2019,2,,1,8,50,45,1,60000,2,,2,,1,2,40,30,0,0,20,0,,4,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",1,1,741,1,2,1,69,18,20,8,1,2019,6,2019,2,,1,8,5,20,68,20000,2,,2,,1,8,2,11,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,811,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,741,1,2,1,69,50,20,7,1,2019,6,2019,2,,1,8,30,20,69,100000,2,,1,8,,,3,17,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,130,1,2,1,22,4.5,45,17,8,2019,8,2019,1,1,1,,0,,,,,,,,,,0,4.2,0,0,0.3,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,210,1,2,1,22,1,45,18,8,2019,8,2019,1,1,1,,0,,,,,,,,,,0,1,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",1,1,741,2,2,1,68,70,20,16,1,2019,6,2019,1,2,2,,70,20,68,560000,2,,1,2,,,0,12,0,0,0,0,,6,2,,0,,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,741,2,2,1,68,112,20,16,1,2019,6,2019,1,2,2,,58,20,68,464000,2,,1,2,,,6,48,0,0,0,0,,6,2,,0,,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,812,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,1,741,2,2,1,68,102,20,16,1,2019,6,2019,1,2,2,,50,20,68,400000,2,,1,2,,,4,48,0,0,0,0,,6,2,,0,,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,2,210,2,2,1,20,6,24,18,4,2019,4,2019,1,2,2,,0,,,,,,,,,,0,6,0,0,0,0,,6,2,,0,,2,,20,11,45,20,5,2019,5,2019,1,2,,,8,45,20,144000,2,0,1,2,,,0.5,2,0,0,0.5,0,,4,2,,0,1,96
"01d0f651c2534a1f8355b9e10e0e9dcb",1,2,620,1,2,1,22,2,20,15,10,2019,11,2019,1,1,1,,0,,,,,,,,,,0,2,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,3,830,1,2,1,1,1560,20,1,1,2019,6,2019,1,1,1,,1560,20,1,390000,2,,1,1,,,0,0,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,741,1,2,1,69,54,20,12,1,2019,6,2019,1,1,1,,30,20,69,90000,2,,1,1,,,0,24,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,4,210,1,2,1,22,3,24,15,5,2018,6,2019,1,1,1,,0,,,,,,,,,,0,3,0,0,0,0,,6,2,,0,,3,,1,7,24,,6,2019,6,2019,1,1,,,0,,,,,,,,,,0,7,0,0,0,0,,4,2,,0,3,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,811,1,2,1,20,1,24,20,4,2019,4,2019,1,1,1,,1,24,20,17000,2,,1,1,,,0,0,0,0,0,0,,6,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,1,630,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,1,741,6,2,1,68,10,20,5,1,2019,6,2019,2,,1,2,0,,,,,,,,,,0,10,0,0,0,0,,6,2,,0,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01d54a65224747fba33cf7b310c7435e",2,2,130,2,2,1,12,1,23,45,6,2019,6,2019,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,1,1,12,6,35,50,7,2019,7,2019,2,,1,2,6,45,12,180000,2,0,2,,1,2,0,0,0,0,0,0,,4,1,3,0,1,1
"01d54a65224747fba33cf7b310c7435e",2,1,210,2,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",2,1,630,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,130,1,2,1,37,4,13,20,5,2019,5,2019,1,1,1,,0,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,210,1,2,1,91,14,14,2,4,2019,5,2019,1,1,1,,0,,,,,,,,,,0,14,0,0,0,0,,2,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,741,1,2,1,67,4,20,30,1,2019,6,2019,1,1,1,,0,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",2,2,620,1,2,1,20,4,20,25,6,2019,8,2019,1,1,1,,0,,,,,,,,,,0,4,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,811,1,2,1,20,1,44,18,1,2019,6,2019,1,1,1,,1,44,20,20000,2,,1,1,,,0,0,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02087846085249d1ae73a1070233c8bb",2,1,210,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,3,130,2,2,1,1,250,45,1,8,2019,8,2019,2,,1,2,230,45,1,115000,3,0,2,,2,,0,20,0,0,0,0,,6,2,,0,,2,,22,8,23,6,7,2019,7,2019,2,,1,2,0,,,,,,,,,,1,7,0,0,0,0,,6,2,,0,2,
"0222b766ba3d494fbf6fe07cf260dac4",2,2,340,2,2,1,1,30,45,1,9,2019,9,2019,2,,1,2,0,,,,,,,,,,5,25,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,1,320,2,2,1,1,160,45,1,8,2019,8,2019,2,,1,2,160,45,1,240000,3,,2,,1,2,0,0,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",2,1,320,2,2,1,1,1600,45,1,8,2019,8,2019,2,,1,2,1200,45,1,1800000,3,,2,,1,2,0,0,0,0,0,25,6,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,3,221,2,2,1,1,140,45,1,9,2019,9,2019,2,,1,2,130,45,1,195000,4,,2,,1,2,0,10,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,5,741,2,2,1,68,12,20,8,10,2019,11,2019,2,,1,2,8,20,68,64000,4,,2,,1,2,0,4,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,4,630,2,2,1,9,8,20,100,3,2019,7,2019,2,,1,2,0,,,,,,,,,,0,8,0,0,0,0,,4,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,2,630,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"024172552bc54600b13887149d11e82c",2,1,130,1,2,1,22,0.5,23,15,6,2019,6,2019,1,1,1,,0,,,,,,,,,,0,0.5,0,0,0,0,,4,2,,0,,3,,10,1.5,45,100,7,2019,7,2019,1,1,,,1,45,10,25000,2,0,1,1,,,0,0.3,0,0,0,0,,4,1,3,0.2,3,
"024172552bc54600b13887149d11e82c",2,1,210,,2,1,22,1.5,24,15,5,2019,6,2019,1,,,,0,,,,,,,,,,0,1.5,0,0,0,0,,6,2,,0,,3,,12,1,45,50,7,2019,7,2019,1,,,,0,,,,,,,,,,0,0.5,0,0,0.5,0,,6,2,,0,3,
"024172552bc54600b13887149d11e82c",1,1,310,1,2,1,22,0.5,42,15,7,2019,7,2019,1,1,1,,0,,,,,,,,,,0,0.5,0,0,0,0,,4,2,,0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02449af9963842c8b8f615b2232735b1",4,1,620,1,2,1,9,6,20,150,6,2019,8,2019,2,,1,2,5,20,9,450000,2,,2,,1,2,0,1,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02449af9963842c8b8f615b2232735b1",4,2,210,1,2,1,10,1,24,80,7,2019,7,2019,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,,10,2.5,45,110,7,2019,8,2019,2,,1,2,2,45,10,264000,2,0,2,,1,2,0,0.5,0,0,0,0,,4,1,3,0,2,
"02449af9963842c8b8f615b2232735b1",4,3,130,1,2,1,10,1,23,70,7,2019,7,2019,2,,1,2,0,,,,,,,,,,0,1,0,0,0,0,,6,2,,0,,2,,10,2,45,110,7,2019,8,2019,2,,1,2,1.5,45,10,132000,2,0,2,,1,2,0,0.5,0,0,0,0,,4,1,3,0,2,
"02449af9963842c8b8f615b2232735b1",3,1,741,1,2,1,68,100,20,7,1,2019,6,2019,2,,1,2,100,20,68,1000000,2,,2,,1,2,0,0,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"02449af9963842c8b8f615b2232735b1",2,1,741,1,2,1,68,60,20,7,1,2019,6,2019,2,,1,2,0,,,,,,,,,,0,60,0,0,0,0,,6,2,,0,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",2,1,320,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"025b88ecba4a44279935bd4a0d19bccd",1,1,210,1,2,1,9,1.2,45,120,7,2019,7,2019,2,,1,4,0,,,,,,,,,,0,0.2,0,0,0,0,,4,2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
