"hhid","parcelID","pltid","cropID","s4bq01","s4bq06_1","s4bq07","s4bq08","s4bq09","s4bq09_1","s4bq09_2","s4bq16","s4bq11a","s4bq11b","s4bq12a","s4bq12b","s4bq13","s4bq14","s4bq10","s4bq15"
"0182fc7b5eb44c44aef16c3a178fb762",2,2,150,1,1,0.13,1,,5,2019,1,1.5,96,,,1,,2,
"018d29620fa44db282c80b6627413e5c",1,1,130,1,1,2,1,,4,2019,1,3,1,,,1,,1,24000
"0192cb54d502450ca603738439bf616f",1,1,650,1,1,0.25,2,10,4,2019,1,1,11,10,11,1,,2,
"0192cb54d502450ca603738439bf616f",1,1,741,1,1,0.25,2,90,4,2017,2,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,811,1,1,0.45,2,15,4,9998,2,,,,,,,,
"0192cb54d502450ca603738439bf616f",2,1,210,1,1,0.45,2,55,4,2019,1,20,1,30,1,1,,2,
"0192cb54d502450ca603738439bf616f",2,1,741,1,1,0.45,2,30,4,9998,2,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,210,1,1,0.4,2,40,4,2019,1,20,1,25,1,1,,2,
"0192cb54d502450ca603738439bf616f",3,1,741,1,1,0.4,2,30,4,9998,2,,,,,,,,
"0192cb54d502450ca603738439bf616f",3,1,811,1,1,0.4,2,30,4,9998,2,,,,,,,,
"0197cec68e9246a887cae30b13bc7488",1,1,130,1,1,0.5,2,50,4,2019,1,2,1,5,1,1,,1,2000
"0197cec68e9246a887cae30b13bc7488",1,1,210,1,1,0.5,2,50,4,2019,1,3,1,5,1,1,,1,7000
"019f06d347d04d5fa22f1846aba0c59b",1,1,741,1,2,0.46,1,,1,9998,2,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,812,1,2,1.81,2,25,1,9998,2,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",3,1,741,1,2,1.81,2,75,1,9998,2,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,1,741,1,2,0.4,1,,1,9998,2,,,,,,,,
"019f06d347d04d5fa22f1846aba0c59b",4,2,210,1,2,0.5,1,,2,2019,1,15,1,,,1,,2,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,811,1,1,0.5,2,40,3,9998,2,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,1,741,1,1,0.5,2,60,7,9998,2,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,2,620,1,1,0.16,1,,5,2019,1,3,66,,,1,,2,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,3,830,1,1,0.1,1,,3,9998,2,,,,,,,,
"01d0f651c2534a1f8355b9e10e0e9dcb",1,4,210,1,1,0.12,1,,3,2019,1,2,31,,,1,,1,3000
"01d54a65224747fba33cf7b310c7435e",2,1,210,1,2,2.5,2,10,3,2019,1,20,1,35,1,1,,2,
"01d54a65224747fba33cf7b310c7435e",2,1,630,1,2,2.5,2,20,3,2019,1,1,10,2,10,1,,2,
"01d54a65224747fba33cf7b310c7435e",2,1,741,1,2,2.5,2,70,3,2019,1,50,85,50,85,1,,2,
"01d54a65224747fba33cf7b310c7435e",2,2,130,1,2,1.5,1,,3,2019,1,30,1,,,1,,2,
"01e7608a258e42c7a2f5af8b551bc247",1,1,210,1,1,0.7,2,30,2,2019,1,3,1,10,1,1,,2,
"01e7608a258e42c7a2f5af8b551bc247",1,1,130,1,1,0.7,2,10,2,2019,1,1,1,10,1,1,,2,
"01e7608a258e42c7a2f5af8b551bc247",1,1,741,1,1,0.7,2,30,1,9998,2,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",1,1,811,1,1,0.7,2,30,1,9998,2,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",2,1,630,1,1,0.7,1,,4,2018,2,,,,,,,,
"01e7608a258e42c7a2f5af8b551bc247",2,2,620,1,1,0.3,1,,3,2019,1,1,10,,,1,,2,
"02087846085249d1ae73a1070233c8bb",2,1,210,1,1,0.25,1,,5,2019,1,10,1,,,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",1,1,320,1,2,1,1,,3,2019,1,17,1,,,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",1,2,630,1,2,1,1,,4,2019,1,5,9,,,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",1,3,130,1,2,1,2,50,4,2019,1,10,1,15,1,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",1,3,221,1,2,1,2,50,4,2019,1,8,1,10,1,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",1,4,630,1,2,0.25,1,,3,2017,2,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",1,5,741,1,2,1,1,,4,2014,2,,,,,,,,
"0222b766ba3d494fbf6fe07cf260dac4",2,1,320,1,2,6,1,,3,2019,1,60,1,,,1,,2,
"0222b766ba3d494fbf6fe07cf260dac4",2,2,340,1,2,1,1,,4,2019,1,2,1,,,1,,2,
"024172552bc54600b13887149d11e82c",1,1,310,1,1,0.1,1,,3,2019,1,3,31,,,1,,2,
"024172552bc54600b13887149d11e82c",2,1,210,1,1,0.45,2,70,3,2019,1,10,31,15,31,1,,2,
"024172552bc54600b13887149d11e82c",2,1,130,1,1,0.45,2,30,3,2019,1,2,31,12,31,1,,2,
"02449af9963842c8b8f615b2232735b1",2,1,741,1,1,0.18,1,,6,2018,1,30,85,,,1,,2,
"02449af9963842c8b8f615b2232735b1",3,1,741,1,1,1,1,,2,2016,1,100,85,,,1,,2,
"02449af9963842c8b8f615b2232735b1",4,1,620,1,1,3,1,,2,2019,1,8,10,,,1,,2,
"02449af9963842c8b8f615b2232735b1",4,2,210,1,1,0.5,1,,3,2019,1,20,1,,,1,,1,60000
"02449af9963842c8b8f615b2232735b1",4,3,130,1,1,0.5,1,,4,2019,1,10,1,,,1,,2,
"025b88ecba4a44279935bd4a0d19bccd",1,1,223,1,1,1.53,2,20,4,2019,1,5,96,9,99,1,,1,4000
"025b88ecba4a44279935bd4a0d19bccd",1,1,210,1,1,1.53,2,50,4,2019,1,52,96,72,99,1,,1,52000
"025b88ecba4a44279935bd4a0d19bccd",1,1,130,1,1,1.53,2,30,5,2019,1,4,96,13,99,1,,2,
"025b88ecba4a44279935bd4a0d19bccd",2,1,320,1,1,0.93,2,70,4,2019,1,37,96,45,99,1,,1,37000
"025b88ecba4a44279935bd4a0d19bccd",2,1,223,1,1,0.93,2,30,4,2019,1,4,96,6,99,1,,1,3200
"02868c7da57e46529281d2dae35ee7fd",2,1,120,1,2,1,1,,2,2019,1,1,12,,,1,,2,
"02868c7da57e46529281d2dae35ee7fd",3,1,130,1,2,0.5,1,,3,2019,1,10,1,,,1,,1,5000
"02868c7da57e46529281d2dae35ee7fd",3,2,630,1,2,0.2,2,50,3,2018,2,,,,,,,,
"02868c7da57e46529281d2dae35ee7fd",3,2,130,1,2,0.2,2,50,3,2019,1,3,1,5,1,1,,1,1500
"02868c7da57e46529281d2dae35ee7fd",3,3,620,1,2,0.3,1,,5,2019,1,6,10,,,1,,2,
"02b20908f47043f0b2389ba8246c5bdc",1,1,630,1,2,1,1,,4,2019,1,12,66,,,1,,2,
"02b20908f47043f0b2389ba8246c5bdc",2,1,630,1,2,1,1,,3,2019,1,7,66,,,1,,2,
"02efd503602d4d10a508075b811e5913",2,1,741,1,1,0.6,1,,9,1970,2,,,,,,,,
"02efd503602d4d10a508075b811e5913",2,2,440,1,1,0.12,1,,4,2019,1,0.25,1,,,2,1,1,15000
"02efd503602d4d10a508075b811e5913",3,1,440,1,1,0.25,1,,4,2019,1,0.5,1,,,2,1,1,40000
"02fbc725a3074d0fa9debb7a02ba23fb",1,1,741,1,2,0.2,1,,1,9998,2,,,,,,,,
"02fbc725a3074d0fa9debb7a02ba23fb",2,1,210,1,2,0.5,2,60,3,2019,1,5,1,5,1,1,,2,
"02fbc725a3074d0fa9debb7a02ba23fb",2,1,130,1,2,0.5,2,40,3,2019,1,2,31,2,31,1,,2,
"03003a6f1ccd4b1290629662229b5d83",1,1,630,1,2,0.4,1,,3,2018,2,,,,,,,,
"03003a6f1ccd4b1290629662229b5d83",1,2,630,1,2,0.35,2,70,4,2019,1,2,9,2,9,1,,2,
"03003a6f1ccd4b1290629662229b5d83",1,2,130,1,2,0.35,2,30,4,2019,1,1,1,0,1,1,,2,
"032de3aed1c34dd5840aba975a5a4468",1,1,141,1,1,0.5,1,,1,2019,1,1,1,,,1,,1,1000
"032de3aed1c34dd5840aba975a5a4468",3,1,130,1,1,0.25,2,40,2,2019,1,2,1,3,1,1,,1,3000
"032de3aed1c34dd5840aba975a5a4468",3,1,630,1,1,0.25,2,60,2,2019,1,2,10,1,10,1,,2,
"034a672611304ed3a91b8a062f4d4046",1,1,630,1,3,0.5,2,30,4,2019,1,3,10,4,9,1,,1,60000
"034a672611304ed3a91b8a062f4d4046",1,1,130,1,3,0.5,2,70,4,2019,1,6,1,6,1,1,,1,6000
"034a672611304ed3a91b8a062f4d4046",1,2,620,1,3,0.18,1,,6,2019,1,2,10,,,1,,2,
"034a672611304ed3a91b8a062f4d4046",1,3,630,1,3,0.4,1,,5,2019,1,2,10,,,1,,1,20000
"034a672611304ed3a91b8a062f4d4046",3,1,330,1,3,1.5,1,,4,2019,1,1.5,1,,,1,,1,50000
"0397ef293012436a99a621fce6fc7471",1,1,741,1,1,0.21,1,,1,2017,2,,,,,,,,
"03b2600846004af6ba212269261907a2",1,1,210,1,1,0.9,2,10,3,2019,1,3,1,12,1,1,,2,
"03b2600846004af6ba212269261907a2",1,1,630,1,1,0.9,2,10,3,2019,1,1,12,3,12,1,,2,
"03b2600846004af6ba212269261907a2",1,1,130,1,1,0.9,2,10,3,2019,1,1,1,10,1,1,,2,
"03b2600846004af6ba212269261907a2",1,1,741,1,1,0.9,2,30,1,9998,2,,,,,,,,
"03b2600846004af6ba212269261907a2",1,1,811,1,1,0.9,2,40,1,9998,2,,,,,,,,
"03b2600846004af6ba212269261907a2",2,1,210,1,1,0.75,2,40,3,2019,1,3.5,1,5,1,1,,2,
"03b2600846004af6ba212269261907a2",2,1,630,1,1,0.75,2,30,4,2018,2,,,,,,,,
"03b2600846004af6ba212269261907a2",2,1,130,1,1,0.75,2,30,3,2019,1,1.5,1,3.5,1,1,,2,
"03b2600846004af6ba212269261907a2",2,2,620,1,1,0.25,1,,4,2019,1,1,10,,,1,,2,
"03d9ca9332d545378b468a1883127d8b",1,1,130,1,1,0.25,2,30,3,2019,1,1,1,3,1,1,,2,
"03d9ca9332d545378b468a1883127d8b",1,1,210,1,1,0.25,2,70,3,2019,1,5,1,5,1,1,,1,17000
"03d9ca9332d545378b468a1883127d8b",1,2,610,1,1,0.25,1,,2,2019,1,4,22,,,1,,1,40000
"03d9ca9332d545378b468a1883127d8b",2,1,811,1,1,1.5,1,,8,9998,2,,,,,,,,
"040b3ad7eb264e30acc111646f03422a",1,1,630,1,1,0.5,1,,7,2018,2,,,,,,,,
"040b3ad7eb264e30acc111646f03422a",2,1,210,1,1,0.25,2,60,3,2019,1,4,1,6,1,1,,1,14000
"040b3ad7eb264e30acc111646f03422a",2,1,130,1,1,0.25,2,40,3,2019,1,2,1,3,1,1,,2,
"040b3ad7eb264e30acc111646f03422a",3,1,320,1,1,1,2,50,3,2019,1,8,1,10,1,1,,2,
"040b3ad7eb264e30acc111646f03422a",3,1,130,1,1,1,2,50,3,2018,1,4,1,6,1,1,,2,
"044116a438c040a898ba43daf6bdc2ea",1,1,741,1,2,1.5,2,50,8,2018,1,50,85,150,85,1,,2,
"044116a438c040a898ba43daf6bdc2ea",1,1,130,1,2,1.5,2,25,3,2019,1,2,1,10,1,1,,2,
"044116a438c040a898ba43daf6bdc2ea",1,1,210,1,2,1.5,2,25,3,2019,1,10,1,20,1,1,,2,
"044116a438c040a898ba43daf6bdc2ea",1,2,630,1,2,0.5,2,50,3,2019,1,1,12,1,10,1,,2,
"044116a438c040a898ba43daf6bdc2ea",1,2,620,1,2,0.5,2,50,3,2019,1,1,12,1,10,1,,2,
"044116a438c040a898ba43daf6bdc2ea",2,1,811,1,2,4,2,50,3,2019,1,100,85,450,85,1,,2,
"044116a438c040a898ba43daf6bdc2ea",2,1,741,1,2,4,2,50,8,2018,1,50,85,400,85,1,,2,
"044116a438c040a898ba43daf6bdc2ea",3,1,741,1,2,0.25,2,50,8,2018,1,30,85,50,85,1,,2,
"044116a438c040a898ba43daf6bdc2ea",3,1,610,1,2,0.25,2,50,3,2019,1,2.5,20,5,20,1,,1,17000
"0442775d8d424d59a433ab5940d510ca",1,1,630,1,1,0.76,2,20,8,2018,1,50,85,100,85,1,,2,
"0442775d8d424d59a433ab5940d510ca",1,1,741,1,1,0.76,2,70,2,9998,2,,,,,,,,
"0442775d8d424d59a433ab5940d510ca",2,1,210,1,1,0.25,2,90,3,2019,1,20,1,22,1,1,,2,
"0442775d8d424d59a433ab5940d510ca",2,1,130,1,1,0.25,2,10,3,2019,1,0.5,1,2,1,1,,2,
"0442775d8d424d59a433ab5940d510ca",3,1,310,1,1,0.5,1,,3,2019,1,3,1,,,1,,2,
"046067ad635647c5a02c03f1790df520",1,1,320,1,1,2,1,,4,2019,1,100,96,,,1,,1,100000
"046067ad635647c5a02c03f1790df520",2,1,130,1,1,3.23,1,,3,2019,1,2,1,,,1,,2,
"046067ad635647c5a02c03f1790df520",2,2,320,1,1,3.45,1,,3,2019,1,1,9,,,1,,2,
"046067ad635647c5a02c03f1790df520",2,3,330,1,1,3.42,2,70,4,2019,1,4,1,6,1,2,1,1,90000
"046067ad635647c5a02c03f1790df520",2,3,223,1,1,3.42,2,30,4,2019,1,4,1,6,1,1,,1,12000
"0464b7af72994dea923644331716d84e",1,1,210,1,2,1,2,50,5,2019,1,5,1,5,1,2,1,2,
"0464b7af72994dea923644331716d84e",1,1,130,1,2,1,2,50,5,2019,1,5,1,5,1,2,1,2,
"0495834806fb40adb50e0fd619ef5094",1,1,741,1,1,0.5,1,,3,2018,2,,,,,,,,
"0495834806fb40adb50e0fd619ef5094",1,2,620,1,1,0.5,1,,9,2018,1,1,10,,,1,,2,
"0495834806fb40adb50e0fd619ef5094",1,3,130,1,1,0.5,1,,3,2019,1,3.5,1,,,2,1,2,
"0495834806fb40adb50e0fd619ef5094",3,1,741,1,1,2,2,60,3,1970,2,,,,,,,,
"0495834806fb40adb50e0fd619ef5094",3,1,811,1,1,2,2,40,4,1970,2,,,,,,,,
"04b011de772e4ce08e33e461bb1741eb",1,1,741,1,1,3,1,,8,2014,2,,,,,,,,
"04b011de772e4ce08e33e461bb1741eb",1,2,130,1,10,1,1,,3,2019,1,30,1,,,1,,2,
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,1,310,1,1,0.2,2,50,3,2019,1,3,1,5,1,1,,2,
"04c814d7b9cb4aa2b651aa2e31acf4e9",1,1,130,1,1,0.2,2,50,3,2019,1,2,1,3,1,1,,2,
"04c814d7b9cb4aa2b651aa2e31acf4e9",2,1,130,1,1,0.5,2,60,3,2019,1,4,1,6,1,1,,2,
"04c814d7b9cb4aa2b651aa2e31acf4e9",2,1,320,1,1,0.5,2,40,3,2019,1,2,1,3,1,1,,1,6000
"04d55903a5d448c3953d1d1ceda1084d",1,1,130,1,5,1.6,2,20,6,2019,1,1,1,10,1,2,1,1,9000
"04d55903a5d448c3953d1d1ceda1084d",1,1,210,1,5,1.6,2,40,4,2019,1,7,29,10,29,1,,2,
"04d55903a5d448c3953d1d1ceda1084d",1,1,741,1,5,1.6,2,40,8,2018,2,,,,,,,,
"04ee28189feb42c6a75acb852661aef1",1,1,741,1,1,0.5,2,40,2,2018,2,,,,,,,,
"04ee28189feb42c6a75acb852661aef1",1,1,810,1,1,0.5,2,60,2,2004,2,,,,,,,,
"04ee28189feb42c6a75acb852661aef1",1,2,130,1,1,0.4,1,,3,2019,1,4,1,,,1,,2,
"0515ceaa3b6d4400bb337565e78db4e4",1,1,741,1,1,0.6,2,40,1,9998,2,,,,,,,,
"0515ceaa3b6d4400bb337565e78db4e4",1,1,812,1,1,0.6,2,60,1,9998,2,,,,,,,,
"0515ceaa3b6d4400bb337565e78db4e4",2,1,210,1,1,0.34,2,60,3,2019,1,10,1,12,1,1,,2,
"0515ceaa3b6d4400bb337565e78db4e4",2,1,130,1,1,0.34,2,40,3,2019,1,2,1,2.5,1,1,,2,
"0515ceaa3b6d4400bb337565e78db4e4",3,1,141,1,1,1,1,,3,2019,1,15,1,,,1,,2,
"051abf68db894b34a1ecfa22bd2a2509",1,1,310,1,2,0.5,1,,5,2019,1,1,22,,,1,,2,
"051abf68db894b34a1ecfa22bd2a2509",1,2,630,1,2,0.5,1,,4,2019,1,2,10,,,1,,1,30000
"052f8d3f81c3477aa9366a24c54ddf83",1,1,210,1,1,0.4,1,,4,2019,1,1,22,,,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",1,2,630,1,1,0.3,2,60,2,2018,1,1,10,2019,9,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",1,2,130,1,1,0.3,2,40,2,2019,1,0.5,96,2,99,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",2,1,630,1,1,0.17,1,,3,2018,2,,,,,,,,
"052f8d3f81c3477aa9366a24c54ddf83",2,2,620,1,1,0.17,1,,5,2019,1,1,9,,,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",2,3,340,1,1,0.2,1,,4,2019,1,2,96,,,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",3,1,340,1,1,1.5,1,,3,2019,1,4,1,,,1,,1,16000
"052f8d3f81c3477aa9366a24c54ddf83",3,2,141,1,1,0.45,1,,3,2019,1,4,1,,,1,,2,
"052f8d3f81c3477aa9366a24c54ddf83",4,1,340,1,1,0.5,1,,3,2019,1,4,1,,,1,,1,16000
"0540d10333124c9ab290bb9daaf998cc",1,1,150,1,2,3,1,,5,2019,1,3,31,,,1,,1,9000
"054124cd4eff40ec97bf51a44fe4a93c",1,1,744,1,2,0.25,2,10,1,9998,2,,,,,,,,
"054124cd4eff40ec97bf51a44fe4a93c",1,1,741,1,2,0.25,2,90,1,9998,2,,,,,,,,
"054124cd4eff40ec97bf51a44fe4a93c",2,1,130,1,2,0.38,2,30,2,2019,1,1,1,3,1,1,,1,1200
"054124cd4eff40ec97bf51a44fe4a93c",2,1,210,1,2,0.38,2,70,2,2019,1,10,1,12,1,1,,1,20000
"05743465c6254f7baedf141b6381f400",2,1,811,1,1,0.5,2,50,4,1980,2,,,,,,,,
"05743465c6254f7baedf141b6381f400",2,1,741,1,1,0.5,2,30,4,1980,2,,,,,,,,
"05743465c6254f7baedf141b6381f400",2,1,210,1,1,0.5,2,20,3,2019,1,5,1,20,1,1,,1,10000
"05863e44874d4d0bbe8abdc95d9249b2",1,1,130,1,1,1,2,20,3,2019,1,0.5,1,1,1,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",1,1,610,1,1,1,2,80,3,2019,1,4,22,10,22,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",2,1,610,1,1,0.5,2,70,2,2019,1,3,22,6,22,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",2,1,130,1,1,0.5,2,30,2,2019,1,0.5,1,2,1,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",2,2,741,1,1,0.5,2,10,12,9998,2,,,,,,,,
"05863e44874d4d0bbe8abdc95d9249b2",2,2,210,1,1,0.5,2,90,3,2019,1,10,1,12,1,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",3,1,130,1,1,0.5,2,10,3,2019,1,1,1,4,1,1,,2,
"05863e44874d4d0bbe8abdc95d9249b2",3,1,610,1,1,0.5,2,20,2,2019,1,4,22,6,1,1,,1,20000
"05863e44874d4d0bbe8abdc95d9249b2",3,2,210,1,1,0.5,1,,3,2019,1,15,1,,,1,,2,
"0586e2b9bcd24aa3bf31580492500327",1,1,741,1,1,0.5,2,40,3,2012,2,,,,,,,,
"0586e2b9bcd24aa3bf31580492500327",1,1,210,1,1,0.5,2,20,3,2019,1,4,1,15,1,1,,1,6400
"0586e2b9bcd24aa3bf31580492500327",1,1,811,1,1,0.5,2,40,3,2012,2,,,,,,,,
"0586e2b9bcd24aa3bf31580492500327",2,1,210,1,1,0.5,2,20,3,2019,1,4,1,15,1,1,,1,6400
"0586e2b9bcd24aa3bf31580492500327",2,1,741,1,1,0.5,2,40,3,2012,2,,,,,,,,
"0586e2b9bcd24aa3bf31580492500327",2,1,811,1,1,0.5,2,40,3,2012,2,,,,,,,,
"058977f6550c4624b8d171b5d1a58a6e",1,1,130,1,1,0.3,2,20,3,2019,1,1,1,3,1,1,,2,
"058977f6550c4624b8d171b5d1a58a6e",1,1,811,1,1,0.3,2,40,2,2018,2,,,,,,,,
"058977f6550c4624b8d171b5d1a58a6e",1,1,630,1,1,0.3,2,40,3,2019,1,20,85,50,85,1,,2,
"059ff457522a4a8fa64c8b2717080161",2,1,210,1,2,0.28,1,,3,2019,1,10,1,,,1,,2,
"05b5aece409440ff8a1231a07558d979",1,1,620,1,1,,1,,8,2018,2,,,,,,,,
"05b5aece409440ff8a1231a07558d979",1,2,630,1,1,,1,,3,2018,2,,,,,,,,
"05b5aece409440ff8a1231a07558d979",1,3,130,1,1,,1,,3,2019,1,15,1,,,1,,2,
"05b5aece409440ff8a1231a07558d979",1,4,130,1,1,,2,50,3,2019,1,3,1,5,1,1,,2,
"05b5aece409440ff8a1231a07558d979",1,4,210,1,1,,2,50,3,2019,1,6,1,10,1,1,,2,
"05bd23b2d9d84b128c7b45db8d2da17f",1,1,812,1,1,0.1,2,40,4,2014,2,,,,,,,,
"05bd23b2d9d84b128c7b45db8d2da17f",1,1,130,1,1,0.1,2,20,5,2019,1,1,1,2,1,1,,2,
"05bd23b2d9d84b128c7b45db8d2da17f",1,1,741,1,1,0.1,2,40,4,2014,2,,,,,,,,
"05cef9765f92473eb465b6dc4fac72a4",3,1,620,1,1,1,1,,4,2019,1,10,11,,,1,,2,
"05dafcf31b4d403aad84cdfff9d1fdfc",1,1,741,1,2,0.2,1,,1,2016,2,,,,,,,,
