"PID","hhid","ws6q01","ws6q02"
2,"0142f6f0c8f9435c97ac2563a6f390ec",,
6,"0142f6f0c8f9435c97ac2563a6f390ec",,
1,"0182fc7b5eb44c44aef16c3a178fb762",,
7,"018d29620fa44db282c80b6627413e5c",,
6,"018d29620fa44db282c80b6627413e5c",,
1,"018d29620fa44db282c80b6627413e5c",2,
3,"018d29620fa44db282c80b6627413e5c",,
4,"018d29620fa44db282c80b6627413e5c",,
4,"0192cb54d502450ca603738439bf616f",,
6,"0192cb54d502450ca603738439bf616f",,
3,"0192cb54d502450ca603738439bf616f",,
8,"0192cb54d502450ca603738439bf616f",2,
9,"019f06d347d04d5fa22f1846aba0c59b",2,
13,"019f06d347d04d5fa22f1846aba0c59b",,
8,"019f06d347d04d5fa22f1846aba0c59b",,
2,"019f06d347d04d5fa22f1846aba0c59b",,
12,"019f06d347d04d5fa22f1846aba0c59b",,
4,"01d54a65224747fba33cf7b310c7435e",,
2,"01d54a65224747fba33cf7b310c7435e",2,
5,"01d54a65224747fba33cf7b310c7435e",,
3,"01e7608a258e42c7a2f5af8b551bc247",,
5,"01e7608a258e42c7a2f5af8b551bc247",,
1,"01e7608a258e42c7a2f5af8b551bc247",2,
1,"02087846085249d1ae73a1070233c8bb",2,
3,"02087846085249d1ae73a1070233c8bb",,
4,"02087846085249d1ae73a1070233c8bb",,
2,"0222b766ba3d494fbf6fe07cf260dac4",2,
1,"024172552bc54600b13887149d11e82c",2,
2,"024172552bc54600b13887149d11e82c",,
6,"02449af9963842c8b8f615b2232735b1",,
1,"02449af9963842c8b8f615b2232735b1",,
5,"02449af9963842c8b8f615b2232735b1",2,
1,"025b88ecba4a44279935bd4a0d19bccd",,
3,"025b88ecba4a44279935bd4a0d19bccd",2,
4,"025b88ecba4a44279935bd4a0d19bccd",2,
2,"02868c7da57e46529281d2dae35ee7fd",2,
4,"029532d2e0d640f888259f1851cfc929",,
1,"029532d2e0d640f888259f1851cfc929",2,
2,"029532d2e0d640f888259f1851cfc929",,
2,"02b20908f47043f0b2389ba8246c5bdc",2,
1,"02b20908f47043f0b2389ba8246c5bdc",,
3,"02b20908f47043f0b2389ba8246c5bdc",,
5,"02b20908f47043f0b2389ba8246c5bdc",,
2,"02efd503602d4d10a508075b811e5913",,
1,"02efd503602d4d10a508075b811e5913",2,
5,"02efd503602d4d10a508075b811e5913",,
6,"02fbc725a3074d0fa9debb7a02ba23fb",,
2,"02fbc725a3074d0fa9debb7a02ba23fb",2,
5,"02fbc725a3074d0fa9debb7a02ba23fb",,
2,"03003a6f1ccd4b1290629662229b5d83",2,
5,"03003a6f1ccd4b1290629662229b5d83",,
6,"03003a6f1ccd4b1290629662229b5d83",,
4,"03003a6f1ccd4b1290629662229b5d83",,
1,"032de3aed1c34dd5840aba975a5a4468",2,
1,"034a672611304ed3a91b8a062f4d4046",2,
9,"0368af34cb614bae9ef98c927741984d",2,
16,"0368af34cb614bae9ef98c927741984d",,
19,"0368af34cb614bae9ef98c927741984d",2,
13,"0368af34cb614bae9ef98c927741984d",,
20,"0368af34cb614bae9ef98c927741984d",,
3,"0368af34cb614bae9ef98c927741984d",,
14,"0368af34cb614bae9ef98c927741984d",2,
7,"0368af34cb614bae9ef98c927741984d",,
8,"0368af34cb614bae9ef98c927741984d",2,
22,"0368af34cb614bae9ef98c927741984d",,
2,"0368af34cb614bae9ef98c927741984d",,
17,"0368af34cb614bae9ef98c927741984d",,
1,"0397ef293012436a99a621fce6fc7471",,
2,"0397ef293012436a99a621fce6fc7471",,
1,"03b2600846004af6ba212269261907a2",,
2,"03b2600846004af6ba212269261907a2",,
4,"03b2600846004af6ba212269261907a2",,
5,"03b2600846004af6ba212269261907a2",,
3,"03d9ca9332d545378b468a1883127d8b",,
2,"03d9ca9332d545378b468a1883127d8b",,
4,"040b3ad7eb264e30acc111646f03422a",,
3,"040b3ad7eb264e30acc111646f03422a",,
1,"040b3ad7eb264e30acc111646f03422a",2,
5,"040ceeba10fc44d19c9499e31e34fbfc",2,
8,"040ceeba10fc44d19c9499e31e34fbfc",,
1,"040ceeba10fc44d19c9499e31e34fbfc",,
4,"044116a438c040a898ba43daf6bdc2ea",,
2,"044116a438c040a898ba43daf6bdc2ea",,
7,"044116a438c040a898ba43daf6bdc2ea",,
1,"0442775d8d424d59a433ab5940d510ca",,
1,"046067ad635647c5a02c03f1790df520",2,
10,"046067ad635647c5a02c03f1790df520",,
8,"046067ad635647c5a02c03f1790df520",,
9,"046067ad635647c5a02c03f1790df520",2,
5,"046067ad635647c5a02c03f1790df520",2,
7,"046067ad635647c5a02c03f1790df520",,
14,"0464b7af72994dea923644331716d84e",,
5,"0464b7af72994dea923644331716d84e",,
2,"0464b7af72994dea923644331716d84e",,
4,"0464b7af72994dea923644331716d84e",2,
3,"0469f55ab1f549dabf8e97afae3f2065",2,
2,"0495834806fb40adb50e0fd619ef5094",,
6,"0495834806fb40adb50e0fd619ef5094",,
8,"0495834806fb40adb50e0fd619ef5094",,
10,"0495834806fb40adb50e0fd619ef5094",2,
3,"049dc3291e444c9193fc506570f6a26e",,
4,"049dc3291e444c9193fc506570f6a26e",,
1,"049dc3291e444c9193fc506570f6a26e",2,
4,"04ae6a51ffbb459a9b00dc5265f4a034",,
1,"04ae6a51ffbb459a9b00dc5265f4a034",,
3,"04ae6a51ffbb459a9b00dc5265f4a034",,
11,"04b011de772e4ce08e33e461bb1741eb",,
10,"04b011de772e4ce08e33e461bb1741eb",2,
1,"04b011de772e4ce08e33e461bb1741eb",,
13,"04b011de772e4ce08e33e461bb1741eb",2,
7,"04c814d7b9cb4aa2b651aa2e31acf4e9",,
6,"04c814d7b9cb4aa2b651aa2e31acf4e9",2,
8,"04c814d7b9cb4aa2b651aa2e31acf4e9",,
5,"04c814d7b9cb4aa2b651aa2e31acf4e9",2,
1,"04c814d7b9cb4aa2b651aa2e31acf4e9",,
10,"04c814d7b9cb4aa2b651aa2e31acf4e9",,
5,"04d55903a5d448c3953d1d1ceda1084d",,
3,"04d55903a5d448c3953d1d1ceda1084d",,
2,"04d55903a5d448c3953d1d1ceda1084d",,
1,"04ee28189feb42c6a75acb852661aef1",,
7,"04ee28189feb42c6a75acb852661aef1",,
2,"0515ceaa3b6d4400bb337565e78db4e4",,
11,"0515ceaa3b6d4400bb337565e78db4e4",,
9,"0515ceaa3b6d4400bb337565e78db4e4",,
6,"0515ceaa3b6d4400bb337565e78db4e4",2,
5,"0515ceaa3b6d4400bb337565e78db4e4",,
2,"051abf68db894b34a1ecfa22bd2a2509",2,
10,"051abf68db894b34a1ecfa22bd2a2509",,
3,"051abf68db894b34a1ecfa22bd2a2509",,
3,"052f8d3f81c3477aa9366a24c54ddf83",2,
4,"052f8d3f81c3477aa9366a24c54ddf83",,
4,"0540d10333124c9ab290bb9daaf998cc",,
5,"0540d10333124c9ab290bb9daaf998cc",,
2,"0540d10333124c9ab290bb9daaf998cc",2,
2,"054124cd4eff40ec97bf51a44fe4a93c",2,
6,"054124cd4eff40ec97bf51a44fe4a93c",,
4,"05743465c6254f7baedf141b6381f400",,
2,"05743465c6254f7baedf141b6381f400",,
3,"05743465c6254f7baedf141b6381f400",,
1,"05863e44874d4d0bbe8abdc95d9249b2",2,
3,"05863e44874d4d0bbe8abdc95d9249b2",,
4,"05863e44874d4d0bbe8abdc95d9249b2",,
5,"05863e44874d4d0bbe8abdc95d9249b2",,
6,"05863e44874d4d0bbe8abdc95d9249b2",,
2,"05863e44874d4d0bbe8abdc95d9249b2",,
5,"0586e2b9bcd24aa3bf31580492500327",,
2,"0586e2b9bcd24aa3bf31580492500327",,
1,"0586e2b9bcd24aa3bf31580492500327",2,
2,"059ff457522a4a8fa64c8b2717080161",2,
2,"05add010c2404efab0880200dcdc9674",,
1,"05add010c2404efab0880200dcdc9674",2,
3,"05add010c2404efab0880200dcdc9674",,
9,"05b5aece409440ff8a1231a07558d979",,
6,"05b5aece409440ff8a1231a07558d979",,
1,"05b5aece409440ff8a1231a07558d979",,
8,"05b5aece409440ff8a1231a07558d979",,
3,"05bd23b2d9d84b128c7b45db8d2da17f",,
2,"05bd23b2d9d84b128c7b45db8d2da17f",,
5,"05cef9765f92473eb465b6dc4fac72a4",2,
4,"05cef9765f92473eb465b6dc4fac72a4",,
2,"05cef9765f92473eb465b6dc4fac72a4",,
2,"05dafcf31b4d403aad84cdfff9d1fdfc",2,
3,"05dafcf31b4d403aad84cdfff9d1fdfc",,
5,"05dafcf31b4d403aad84cdfff9d1fdfc",,
5,"06017013809c4ccc99e9c3dcd7b3c10f",,
4,"06017013809c4ccc99e9c3dcd7b3c10f",,
1,"06017013809c4ccc99e9c3dcd7b3c10f",2,
2,"0602eb95ac184ad3aa8fdba309f3f946",2,
14,"0602eb95ac184ad3aa8fdba309f3f946",2,
10,"0602eb95ac184ad3aa8fdba309f3f946",,
15,"0602eb95ac184ad3aa8fdba309f3f946",,
1,"06122c47fee6432f8b973b9ea525fe57",2,
2,"061989138f624a46be5860a6f7e8934b",2,
4,"061989138f624a46be5860a6f7e8934b",,
3,"061989138f624a46be5860a6f7e8934b",,
5,"061989138f624a46be5860a6f7e8934b",,
3,"061d004e00b841cea0fa55802483b1b4",,
2,"061d004e00b841cea0fa55802483b1b4",2,
5,"062f7f18a3d7429fabe2c075459a301a",2,
1,"062f7f18a3d7429fabe2c075459a301a",2,
2,"062f7f18a3d7429fabe2c075459a301a",,
2,"06403dbe6bbd4f1e82d16fa705c51b73",,
7,"066a75cbe6cb4de4a2ba444ec6c9a5b4",2,
2,"066a75cbe6cb4de4a2ba444ec6c9a5b4",,
1,"067e98465031426791a3853b69a9a70a",,
4,"067e98465031426791a3853b69a9a70a",,
2,"067f809da4ef44c8ab7ff3a16ee31672",,
1,"067f809da4ef44c8ab7ff3a16ee31672",,
6,"067f809da4ef44c8ab7ff3a16ee31672",,
3,"067f809da4ef44c8ab7ff3a16ee31672",,
3,"06816d8d60b141418b768b356970d613",,
4,"06816d8d60b141418b768b356970d613",,
2,"06816d8d60b141418b768b356970d613",,
2,"068c76ff148d44fcbb4ab89429adcb6c",,
4,"06a5f788e6b248dfa229a7cd68fcf706",,
3,"06a5f788e6b248dfa229a7cd68fcf706",,
1,"06a5f788e6b248dfa229a7cd68fcf706",2,
3,"06b36c2c9668465ead2665345a45355a",2,
2,"06b36c2c9668465ead2665345a45355a",,
1,"06ca2b010f7a4724a51adc2505df2e10",2,
3,"06ca2b010f7a4724a51adc2505df2e10",,
2,"072bede7173b42a9b15f6d873387591a",,
4,"072bede7173b42a9b15f6d873387591a",,
7,"072bede7173b42a9b15f6d873387591a",,
2,"07446a0d279c4168ae5f4a5aab842b4d",2,
4,"07446a0d279c4168ae5f4a5aab842b4d",,
1,"074abb9330f84c72b0f136f6fc38d00d",,
4,"074abb9330f84c72b0f136f6fc38d00d",2,
3,"074ed7ecb495445785d908b0f56915cd",,
4,"074ed7ecb495445785d908b0f56915cd",2,
1,"074ed7ecb495445785d908b0f56915cd",,
2,"0753ace2876b4833a3bb185a04440fe8",2,
4,"0753ace2876b4833a3bb185a04440fe8",,
3,"0753ace2876b4833a3bb185a04440fe8",,
2,"076ab269f25445b78942024965446513",,
4,"076ab269f25445b78942024965446513",,
6,"078096ed82bd4b369317a5c4329d7dd8",,
7,"078096ed82bd4b369317a5c4329d7dd8",,
4,"078096ed82bd4b369317a5c4329d7dd8",,
1,"078096ed82bd4b369317a5c4329d7dd8",2,
3,"078096ed82bd4b369317a5c4329d7dd8",2,
4,"079da0c0a73b465b9c0be7a5bd9bf920",,
3,"079da0c0a73b465b9c0be7a5bd9bf920",,
7,"079e6812fb50405bbe8cb744b5ef6afd",,
5,"079e6812fb50405bbe8cb744b5ef6afd",2,
2,"079e6812fb50405bbe8cb744b5ef6afd",,
2,"07b346723489448b99ea7d75a5cd2458",2,
5,"07b346723489448b99ea7d75a5cd2458",,
2,"07b5c28dd52642b69def9db9df074dc0",2,
1,"07b5c28dd52642b69def9db9df074dc0",2,
1,"07b6c4f12d054292b7b786ef2dd45835",2,
3,"07b6c4f12d054292b7b786ef2dd45835",,
2,"07b6c4f12d054292b7b786ef2dd45835",,
9,"07cc2b8f1a324976927f0a604636306c",,
6,"07cc2b8f1a324976927f0a604636306c",,
4,"07cc2b8f1a324976927f0a604636306c",,
1,"07cc2b8f1a324976927f0a604636306c",2,
5,"07cc2b8f1a324976927f0a604636306c",2,
5,"07cc9720213b487385812471bc510785",,
1,"07cc9720213b487385812471bc510785",2,
4,"07cc9720213b487385812471bc510785",,
2,"0809936839be4f8b99293dee0663fc53",2,
3,"0809936839be4f8b99293dee0663fc53",2,
6,"0809936839be4f8b99293dee0663fc53",,
5,"0809936839be4f8b99293dee0663fc53",,
1,"082757b50eee4bc29551c3c3c30639da",,
12,"082757b50eee4bc29551c3c3c30639da",,
6,"082757b50eee4bc29551c3c3c30639da",,
8,"082757b50eee4bc29551c3c3c30639da",,
7,"082757b50eee4bc29551c3c3c30639da",,
3,"082757b50eee4bc29551c3c3c30639da",,
2,"0838ec2a8a6147e4936272a5b65b909c",2,
3,"0838ec2a8a6147e4936272a5b65b909c",,
5,"0838ec2a8a6147e4936272a5b65b909c",,
4,"0838ec2a8a6147e4936272a5b65b909c",,
4,"083ade125b70414ba6257ff498afe1f4",,
2,"083ade125b70414ba6257ff498afe1f4",2,
3,"083ade125b70414ba6257ff498afe1f4",,
5,"0860ea9bebf44de1ac82a1e0e866a570",,
1,"0860ea9bebf44de1ac82a1e0e866a570",,
6,"0860ea9bebf44de1ac82a1e0e866a570",,
4,"0870d2355d1c498caee91988946dea92",,
1,"0870d2355d1c498caee91988946dea92",2,
1,"088d7d7eb37b4683b391bf34b48482d2",,
2,"088d7d7eb37b4683b391bf34b48482d2",,
1,"088fd07aa1784231a7b800bf54b769fd",,
3,"089f1c1e30d94938ad4a28294030f670",,
7,"089f1c1e30d94938ad4a28294030f670",,
6,"089f1c1e30d94938ad4a28294030f670",,
5,"089f1c1e30d94938ad4a28294030f670",2,
2,"089f1c1e30d94938ad4a28294030f670",2,
8,"089f1c1e30d94938ad4a28294030f670",2,
5,"08a622bfb26f4199bde601e058ccf58d",,
3,"08a622bfb26f4199bde601e058ccf58d",,
4,"08a622bfb26f4199bde601e058ccf58d",,
4,"08e85672338a4515b2a6ab61f4c5c32d",,
3,"08e85672338a4515b2a6ab61f4c5c32d",,
1,"08f5b8dae9774128b354032393f6d40f",2,
6,"08f5b8dae9774128b354032393f6d40f",,
6,"08fecb64841f493c87c3c24f97d3b1f0",,
2,"08fecb64841f493c87c3c24f97d3b1f0",,
2,"090f972306904a6d8a21853b2415b8e6",,
4,"090f972306904a6d8a21853b2415b8e6",,
4,"091517b1a65147a7a3aa3b6c93500495",2,
2,"091517b1a65147a7a3aa3b6c93500495",2,
2,"091931736aa74c1c900335dad7a3f709",,
5,"091931736aa74c1c900335dad7a3f709",,
1,"091931736aa74c1c900335dad7a3f709",2,
4,"091931736aa74c1c900335dad7a3f709",,
1,"093cbecd77b441179f3704a9d5bb4367",,
1,"09864be193f04de1a1c62f8e2e3fb3f5",2,
1,"09b2599428504211a28805728ba84135",2,
4,"09b2599428504211a28805728ba84135",,
2,"09b2599428504211a28805728ba84135",,
9,"09c9f51b98214abca30f1cc1accd7cb9",2,
8,"09c9f51b98214abca30f1cc1accd7cb9",,
7,"09c9f51b98214abca30f1cc1accd7cb9",,
11,"09c9f51b98214abca30f1cc1accd7cb9",,
10,"09c9f51b98214abca30f1cc1accd7cb9",,
2,"09c9f51b98214abca30f1cc1accd7cb9",,
4,"09c9f51b98214abca30f1cc1accd7cb9",,
2,"09f959c903de48f1a7656b5f988d01fe",2,
1,"0a10dc04657a4e418e9ef68e0039d141",2,
1,"0a1d569220474ae5a850ea9ffecd7397",,
4,"0a33bbb4716e43918e2dcb131f616aff",,
2,"0a33bbb4716e43918e2dcb131f616aff",2,
1,"0aa32d2b402845b9acdd93f36a957e2a",,
2,"0aa52ee740e54bc18a97dea9206c4dfb",2,
6,"0aa52ee740e54bc18a97dea9206c4dfb",,
3,"0aa8447688704ee98df9240ef335054a",,
2,"0aa8447688704ee98df9240ef335054a",2,
6,"0aaa3c3864af4ed5976f59eea475f982",,
2,"0aaa3c3864af4ed5976f59eea475f982",2,
3,"0aaa3c3864af4ed5976f59eea475f982",,
5,"0aaa3c3864af4ed5976f59eea475f982",,
4,"0ab0754b5398494b863f05891f237892",,
2,"0ab0754b5398494b863f05891f237892",2,
4,"0ab702b9c7c04f3786e3af7ff5949cc1",,
3,"0ab702b9c7c04f3786e3af7ff5949cc1",,
1,"0acc53ebc8a949bf941e1a2caf689d21",2,
8,"0af10a2d6b914d418b2b5b671d12d653",,
5,"0af10a2d6b914d418b2b5b671d12d653",,
6,"0af10a2d6b914d418b2b5b671d12d653",,
13,"0af10a2d6b914d418b2b5b671d12d653",,
2,"0af10a2d6b914d418b2b5b671d12d653",2,
4,"0af10a2d6b914d418b2b5b671d12d653",2,
11,"0af10a2d6b914d418b2b5b671d12d653",,
12,"0af10a2d6b914d418b2b5b671d12d653",,
1,"0b3b982602d04173ad3b1e70959cbfd3",,
7,"0b3b982602d04173ad3b1e70959cbfd3",,
3,"0b3b982602d04173ad3b1e70959cbfd3",,
8,"0b3b982602d04173ad3b1e70959cbfd3",,
5,"0b3b982602d04173ad3b1e70959cbfd3",,
7,"0b579d265ed34359a56af2f15ae4d081",,
8,"0b579d265ed34359a56af2f15ae4d081",,
1,"0b579d265ed34359a56af2f15ae4d081",,
5,"0b579d265ed34359a56af2f15ae4d081",,
5,"0b5d1c5449044517bcce04bac511725e",2,
7,"0b5d1c5449044517bcce04bac511725e",,
1,"0b5f5af0b2464b878ac5c214e294cf3b",,
3,"0b5f5af0b2464b878ac5c214e294cf3b",,
2,"0b5f5af0b2464b878ac5c214e294cf3b",,
2,"0b95a1e8ac1f432da2425f0e135e45c0",,
6,"0b95a1e8ac1f432da2425f0e135e45c0",,
4,"0ba00f819c6a456f90b6b9ddca903379",,
2,"0ba00f819c6a456f90b6b9ddca903379",2,
3,"0ba00f819c6a456f90b6b9ddca903379",,
2,"0ba4bc0924e449f6b395dae115acc723",,
2,"0babe31ce3494a9691168727050eb752",2,
4,"0bc5ec21008a47488be5243e01553a26",,
2,"0bc5ec21008a47488be5243e01553a26",2,
3,"0bc5ec21008a47488be5243e01553a26",,
1,"0bcc7f6fcdc64e7f925c80713a7d5db4",2,
4,"0bcc7f6fcdc64e7f925c80713a7d5db4",,
3,"0bcc7f6fcdc64e7f925c80713a7d5db4",,
7,"0c22a7dbc0cb4cbea89c01a94b82c7e1",,
1,"0c22a7dbc0cb4cbea89c01a94b82c7e1",2,
3,"0c22a7dbc0cb4cbea89c01a94b82c7e1",,
1,"0c4001e96413427da9ec508f97d215bc",,
3,"0c4001e96413427da9ec508f97d215bc",,
2,"0c496dcf23954cbba6f1ab6830c998fb",2,
4,"0c4a4cf0e7ea4067b33aaa955c36715f",,
5,"0c4a4cf0e7ea4067b33aaa955c36715f",,
2,"0c4a4cf0e7ea4067b33aaa955c36715f",2,
7,"0c4a4cf0e7ea4067b33aaa955c36715f",,
1,"0c6412b6bb304caab71edeea852ef471",,
4,"0c6412b6bb304caab71edeea852ef471",,
14,"0c818a61c1164978a7d822e925de9e03",,
3,"0c818a61c1164978a7d822e925de9e03",2,
1,"0c818a61c1164978a7d822e925de9e03",,
2,"0c818a61c1164978a7d822e925de9e03",,
9,"0ca9880b3e5a43ee9ec44c9863b2f236",2,
5,"0ca9880b3e5a43ee9ec44c9863b2f236",,
4,"0ca9880b3e5a43ee9ec44c9863b2f236",,
1,"0ca9880b3e5a43ee9ec44c9863b2f236",,
6,"0ca9880b3e5a43ee9ec44c9863b2f236",,
1,"0cac75ed84684d18b700549a520c0f1f",,
5,"0cac75ed84684d18b700549a520c0f1f",,
3,"0cac75ed84684d18b700549a520c0f1f",2,
6,"0cceefffc29f4817b783a8cd577393d7",,
4,"0cceefffc29f4817b783a8cd577393d7",2,
2,"0cd035c06c3647fab7f198d760f73e98",,
2,"0cf5ba3c4a7e4b379ed786599920157c",2,
4,"0cf5ba3c4a7e4b379ed786599920157c",,
1,"0cfefdeb042a4b39af8af9a6a53cadba",2,
8,"0cfefdeb042a4b39af8af9a6a53cadba",,
6,"0d1155056d5a49f592537fdeea3284d3",,
5,"0d1155056d5a49f592537fdeea3284d3",,
2,"0d1155056d5a49f592537fdeea3284d3",2,
4,"0d1155056d5a49f592537fdeea3284d3",,
2,"0d1423b6187b4666aab92778cd5e4050",,
6,"0d1423b6187b4666aab92778cd5e4050",,
7,"0d1423b6187b4666aab92778cd5e4050",2,
11,"0d1423b6187b4666aab92778cd5e4050",,
3,"0d55f17a96e74a6b94c6e7657face67b",,
2,"0d55f17a96e74a6b94c6e7657face67b",,
4,"0d55f17a96e74a6b94c6e7657face67b",,
1,"0d55f17a96e74a6b94c6e7657face67b",2,
5,"0d55f17a96e74a6b94c6e7657face67b",,
5,"0d86f0684d594491a7ed8c12b10742b4",,
2,"0d86f0684d594491a7ed8c12b10742b4",,
3,"0d86f0684d594491a7ed8c12b10742b4",,
1,"0d86f0684d594491a7ed8c12b10742b4",,
1,"0d9558a39d474ff2a54320421d890599",2,
2,"0d9810cde32d470bbcea579035125672",2,
3,"0d9810cde32d470bbcea579035125672",,
5,"0d9810cde32d470bbcea579035125672",,
6,"0dac56419262429c8f0ca39b7a7c55fc",,
5,"0dac56419262429c8f0ca39b7a7c55fc",,
1,"0dac56419262429c8f0ca39b7a7c55fc",2,
14,"0dcf445c997649629cfe96bdbe03d028",,
13,"0dcf445c997649629cfe96bdbe03d028",,
12,"0dcf445c997649629cfe96bdbe03d028",,
11,"0dcf445c997649629cfe96bdbe03d028",2,
2,"0dcf445c997649629cfe96bdbe03d028",,
2,"0df40545b17a4ed5942118afbcd884a6",,
3,"0df40545b17a4ed5942118afbcd884a6",2,
3,"0df97c022ab34484ba98c8f65f2ada36",2,
7,"0df97c022ab34484ba98c8f65f2ada36",,
2,"0df97c022ab34484ba98c8f65f2ada36",,
8,"0df97c022ab34484ba98c8f65f2ada36",,
2,"0e0d592eae8546e29fa5672ad599d418",,
1,"0e0d592eae8546e29fa5672ad599d418",2,
3,"0e0d592eae8546e29fa5672ad599d418",,
5,"0e102ce9336c4724a1e17db925d74f0d",,
7,"0e102ce9336c4724a1e17db925d74f0d",2,
3,"0e102ce9336c4724a1e17db925d74f0d",2,
2,"0e102ce9336c4724a1e17db925d74f0d",2,
8,"0e102ce9336c4724a1e17db925d74f0d",,
2,"0e3cce40118845f3b1d19bf598b412c7",,
3,"0e3cce40118845f3b1d19bf598b412c7",2,
4,"0e3cce40118845f3b1d19bf598b412c7",,
3,"0e49f87a31fa443584ec7df8acca506e",,
2,"0e49f87a31fa443584ec7df8acca506e",2,
4,"0e49f87a31fa443584ec7df8acca506e",,
1,"0e849b1e76e7470b972a4130b79ee9aa",1,96
2,"0eb4081fc0ce4fb587566bae32097f9f",,
4,"0eb4081fc0ce4fb587566bae32097f9f",2,
1,"0ef621acc60143a99dd39acdf4e1fdc6",,
2,"0ef621acc60143a99dd39acdf4e1fdc6",,
2,"0effe952b7be4f59ad5382bc3643699f",2,
1,"0f0b2f51e6444b9eae2db618e9c8c086",2,
6,"0f0b2f51e6444b9eae2db618e9c8c086",,
1,"0f0c9b09e6d6402d96c23f7c3fd90b1d",,
4,"0f0c9b09e6d6402d96c23f7c3fd90b1d",,
2,"0f0c9b09e6d6402d96c23f7c3fd90b1d",,
2,"0f120ff4c01e4c2bacbc7c513fbb1d9f",2,
9,"0f120ff4c01e4c2bacbc7c513fbb1d9f",,
10,"0f120ff4c01e4c2bacbc7c513fbb1d9f",,
6,"0f120ff4c01e4c2bacbc7c513fbb1d9f",2,
8,"0f120ff4c01e4c2bacbc7c513fbb1d9f",,
1,"0f50e94a1c4846ed9fbbb1db8394476f",,
6,"0f50e94a1c4846ed9fbbb1db8394476f",,
2,"0f639994baa54fcebe4d20937458bd29",,
6,"0f799e7ce9224d0aae0da65f6c9f0860",,
2,"0f799e7ce9224d0aae0da65f6c9f0860",2,
7,"0f799e7ce9224d0aae0da65f6c9f0860",,
1,"0f7c31747a9e4c5ba7b1f535b96bbf3d",,
5,"0f8c738dfb7d4256b29784c4528caf95",,
1,"0f8c738dfb7d4256b29784c4528caf95",2,
4,"0f8c738dfb7d4256b29784c4528caf95",,
3,"0f8c738dfb7d4256b29784c4528caf95",,
2,"0f8c738dfb7d4256b29784c4528caf95",,
12,"0f8f2b0cc7a84d8d8e21442c1828a004",2,
10,"0f8f2b0cc7a84d8d8e21442c1828a004",,
2,"0f8f2b0cc7a84d8d8e21442c1828a004",,
8,"0f8f2b0cc7a84d8d8e21442c1828a004",,
7,"0f8f2b0cc7a84d8d8e21442c1828a004",,
3,"0f96f2f08b13450f8f8534815f565d6a",,
1,"0f96f2f08b13450f8f8534815f565d6a",,
2,"0f96f2f08b13450f8f8534815f565d6a",,
4,"0f96f2f08b13450f8f8534815f565d6a",,
6,"0f96f2f08b13450f8f8534815f565d6a",,
7,"0f96f2f08b13450f8f8534815f565d6a",,
7,"0fce92d4977d4f40bbfd03850e836f41",,
2,"0fce92d4977d4f40bbfd03850e836f41",2,
4,"0fce92d4977d4f40bbfd03850e836f41",,
2,"1007d8148aa340fb9a57a7acc47815d9",2,
3,"1007d8148aa340fb9a57a7acc47815d9",,
4,"1007d8148aa340fb9a57a7acc47815d9",,
5,"100efbd880dd42ae8de85a4f51c76e1d",,
7,"100efbd880dd42ae8de85a4f51c76e1d",,
9,"100efbd880dd42ae8de85a4f51c76e1d",,
